topic_id,rank,word,weight
0,1,method,1.589964444617965
0,2,convergence,0.7611591492183077
0,3,methods,0.48782510297436854
0,4,gradient,0.485540229865771
0,5,new,0.33697450344291613
0,6,numerical,0.3299102361887235
0,7,proposed,0.3184101255168751
0,8,newton,0.3022462626664294
0,9,iteration,0.2741139008943812
0,10,direction,0.27155439816727595
0,11,trust,0.26708528179050495
0,12,conjugate,0.2502103343609895
0,13,global,0.24872798280924754
0,14,region,0.24382758264690088
0,15,descent,0.2261973468475328
1,1,control,1.3045898398166658
1,2,optimal,0.6385639108370651
1,3,state,0.5414093196418981
1,4,discretization,0.3571854034997155
1,5,error,0.35010836808785706
1,6,estimates,0.27160821757413456
1,7,constraints,0.26544369737432433
1,8,elliptic,0.25882441871032236
1,9,problems,0.24830378522766772
1,10,numerical,0.24046981101410536
1,11,controls,0.23563340508708167
1,12,boundary,0.225537784551627
1,13,equations,0.21341451149174648
1,14,pointwise,0.21320703841559882
1,15,equation,0.20521818219491894
2,1,problem,1.032668456258302
2,2,instances,0.3203812397827822
2,3,solutions,0.2848495345116721
2,4,solution,0.26145014459384114
2,5,set,0.24382228718440868
2,6,network,0.22329215091339097
2,7,optimal,0.21842549860253832
2,8,given,0.2092508837569831
2,9,number,0.20888403514844567
2,10,computational,0.1963058796421807
2,11,graph,0.1908026243684235
2,12,time,0.183114336909266
2,13,heuristic,0.18232418768233472
2,14,cost,0.1790738591720167
2,15,minimum,0.1751092199820027
3,1,function,0.8896017407421314
3,2,functions,0.48850691981787797
3,3,complementarity,0.4707351366927094
3,4,convex,0.4127474089802537
3,5,problem,0.3300926860478277
3,6,objective,0.3126283190445469
3,7,smoothing,0.25463993389021056
3,8,penalty,0.2508336250393617
3,9,point,0.24247537440002154
3,10,merit,0.236454190044695
3,11,nonsmooth,0.21610720923840535
3,12,smooth,0.2146764120269552
3,13,class,0.19540149545735105
3,14,convergence,0.19111142029944378
3,15,ncp,0.18110687265919284
4,1,problems,0.6294079452931824
4,2,programming,0.5640439994836216
4,3,linear,0.40797205972043576
4,4,methods,0.3617584752716121
4,5,quadratic,0.3472146450032097
4,6,nonlinear,0.3196928145095003
4,7,dual,0.3133498274745817
4,8,approach,0.26779815164699494
4,9,programs,0.23983553827089124
4,10,solving,0.22790409567676362
4,11,constraints,0.21333265425767253
4,12,solution,0.20975174476482822
4,13,variables,0.20954824545316944
4,14,optimization,0.2018568236462512
4,15,semidefinite,0.19801173014170784
5,1,algorithm,1.4778595788774718
5,2,algorithms,0.5619332850431452
5,3,optimization,0.5510162968415537
5,4,proposed,0.42131423572210447
5,5,search,0.4159446775847097
5,6,new,0.35862938565640834
5,7,problems,0.3134274208646148
5,8,global,0.2494175823429
5,9,based,0.24151976164286046
5,10,local,0.21222971491716758
5,11,performance,0.20716603457196622
5,12,paper,0.18392588277684221
5,13,results,0.1772836472243707
5,14,space,0.17535696724912384
5,15,efficient,0.16096073703600733
