file_path,title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper1.txt","Solution of and bounding in a linearly constrained optimization problem with convex, polyhedral objective function",0.00486585967884573,0.0,0.0616237274249287,0.06037079278407226,0.0,0.0669754975591643,0.04530045660319897,0.001603387026052922
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper10.txt",Directional derivatives of the solution of a parametric nonlinear program,0.0,0.0,0.053821853542838145,0.01304949676568351,0.014577291913126515,0.017599426573025177,0.10040052166497365,0.00022602395616168106
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper11.txt",Stronger Lagrangian bounds by use of slack variables: Applications to machine scheduling problems,0.003366245168890194,0.0,0.010483665049400003,0.0,0.005818745054530536,0.10184416654442473,0.014960178115968545,0.06996661173649871
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper12.txt",On the equivalence of nonlinear complementarity problems and least-element problems,0.0,0.0,0.04750855955901148,0.0,0.0,0.05041831258577154,0.028401920256053155,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper13.txt",A note on packing paths in planar graphs,0.0,0.0022951274830032495,0.018352860173176406,0.0,0.0,0.0,0.002016785197273363,0.0903000362103913
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper14.txt",The fleet assignment problem: Solving a large-scale integer program,0.04505264446671595,0.01242888934884577,0.0,0.0,0.0,0.06872096616522272,0.05353773274529765,0.08053089384218148
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper15.txt",Unification of basic and composite nondifferentiable optimization,0.0,0.0,0.0738111590958707,0.03782066413300699,0.001434866632826029,0.010117642721240506,0.0,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper16.txt",Primal—dual methods for linear programming,0.0,0.0,0.0,0.13664121711077493,0.003438887531569617,0.0,0.07187982147124822,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper17.txt","Linear programming, complexity theory and elementary functional analysis",0.002296247558379656,0.004053123534946316,0.025834169498085577,0.01960194753706301,0.005428037206356465,0.017936387487465216,0.029665159633659927,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper2.txt","A polyhedron with alls—t cuts as vertices, and adjacency of cuts",0.0,0.09104783660018584,0.0,0.0,0.0,0.0,0.00443480078945103,0.09433400482421395
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper3.txt",Segments in enumerating faces,0.0367325641531624,0.014506561600037177,0.038170715293385137,0.0,0.0,0.0,0.014479498839601174,0.04594334930625996
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper4.txt","On bilevel programming, Part I: General nonlinear cases",0.0,0.0,0.0535791237246377,0.045115408281101554,0.004008647276306811,0.0764752312266825,0.040346998603971375,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper5.txt",On structure and stability in stochastic programs with random technology matrix and complete integer recourse,0.0,0.0,0.019233009486317554,0.0,0.0,0.10764727804652624,0.0,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper6.txt",Implicit function theorems for generalized equations,0.0,0.0,0.04646280206904557,0.012204570125038526,0.00018800070260201627,0.0,0.02574949264786092,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper7.txt",The curvature integral and the complexity of linear complementarity problems,0.06202053048068591,0.0,0.0,0.0,0.0,0.0,0.06355378134936947,0.02691941072927102
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper8.txt",Pseudopower expansion of solutions of generalized equations and constrained optimization problems,0.0,0.0,0.05547940383663661,0.006436002100970814,0.015451534420564498,0.007369823643989106,0.06134725727351348,0.0
"Data_Abstract/Springer Database/Mathematical Programming/100October 1995, Issue 1-3/paper9.txt",Directional differentiability of the optimal value function in convex semi-infinite programming,0.0,0.0,0.09506734128518164,0.0,0.0002463273545202279,0.0,0.0752355449140108,0.0044051360816495504
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper1.txt",Ideal polytopes and face structures of some combinatorial optimization problems,0.0,0.04128137659422322,0.05466492472934517,0.0,0.0,0.006698146865682506,0.015463448142370122,0.10319939301254172
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper2.txt",A descent method with linear programming subproblems for nondifferentiable convex optimization,0.0065155667751094146,0.006734727330101771,0.007462182569374914,0.07897031628534448,0.007236309133890481,0.0654510145040221,0.0017189983910920214,0.0
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper3.txt",One-third-integrality in the max-cut problem,0.0,0.008956298319722288,0.007462568235755163,0.0,0.0012813366239312627,0.0,0.0,0.12002052918941887
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper4.txt",Smoothing methods for convex inequalities and linear complementarity problems,0.002973149174060174,0.06745711832426539,0.044887048383772055,0.05058317225746575,0.0,0.004129596590729703,0.06641088059977746,0.0
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper5.txt",The Fermat—Weber location problem revisited,0.04973799143824911,0.0,0.05363155258276001,0.040938819330050016,0.0,0.0,0.028732525083683957,0.02816372068510105
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper6.txt",An interior-proximal method for convex linearly constrained problems and its extension to variational inequalities,0.0410212779905091,0.05627747340443419,0.09336590785989873,0.09586677331891087,0.01960765674305077,0.0008754793550593898,0.0,0.0
"Data_Abstract/Springer Database/Mathematical Programming/101November 1995, Issue 1/paper7.txt",On minquantile and maxcovering optimisation,0.007064077425704597,0.0,0.0,0.013368512119665086,0.0,0.025261533734107434,0.028827779613409977,0.07284737051738584
"Data_Abstract/Springer Database/Mathematical Programming/102December 1995, Issue 2/paper1.txt",Optimizing constrained subtrees of trees,0.0,0.0,0.02672721116272578,0.0,0.0,0.0,0.0033024177709333196,0.08860230159747427
"Data_Abstract/Springer Database/Mathematical Programming/102December 1995, Issue 2/paper2.txt",A closed-form representation of mixed-integer program value functions,0.0,0.012549733162699084,0.0669115360836964,0.0,0.0,0.010062536594530904,0.010627212455429812,0.013073215124975538
"Data_Abstract/Springer Database/Mathematical Programming/102December 1995, Issue 2/paper3.txt",Lower bounds for the quadratic assignment problem via triangle decompositions,0.009169399642350707,0.002187560264414983,0.010961991742415774,0.005548732055462909,0.0,0.08720645200814643,0.0033198899976125225,0.044577970926350095
"Data_Abstract/Springer Database/Mathematical Programming/102December 1995, Issue 2/paper4.txt",An efficient cost scaling algorithm for the assignment problem,0.0,0.0,0.0,0.1015362167897074,0.0,0.014131660603556865,0.0,0.06918562635476651
"Data_Abstract/Springer Database/Mathematical Programming/102December 1995, Issue 2/paper5.txt",A Gauss—Newton method for convex composite optimization,0.014304937276980232,0.0,0.058258268480758504,0.09985098490901592,0.0005378843247824616,0.0,0.008825737873116564,0.0
