topic_id,rank,word,weight
0,1,control,2.209430280601637
0,2,optimal,2.1523262321271766
0,3,problems,0.8091152589950923
0,4,problem,0.6586669520517154
0,5,state,0.5802824729528592
0,6,controls,0.5731288898696028
0,7,time,0.5032879331486858
0,8,cost,0.39781550578885466
0,9,governed,0.2337322092268861
0,10,optimality,0.22528463755513278
0,11,elliptic,0.21035286480217052
0,12,considered,0.19271943113182516
0,13,existence,0.19022865069551706
0,14,finite,0.18379936585466644
0,15,parabolic,0.17504409144744576
1,1,systems,1.2507425079340417
1,2,stability,0.6862155272240835
1,3,feedback,0.592271503794342
1,4,linear,0.5880818513382137
1,5,output,0.34702422241047026
1,6,nonlinear,0.3172377200593651
1,7,results,0.27900954169383785
1,8,lyapunov,0.2753117015379935
1,9,class,0.26976565131018937
1,10,paper,0.262336242547588
1,11,input,0.23908354596646095
1,12,control,0.22607418793815945
1,13,stabilization,0.2232240441285953
1,14,theory,0.2200046283247006
1,15,time-varying,0.21722136385658264
2,1,game,1.1783518520237939
2,2,games,0.7355796581207964
2,3,value,0.5328096518994639
2,4,strategies,0.4280266525725916
2,5,players,0.42068135145536345
2,6,player,0.3696109531761257
2,7,equilibrium,0.3679420374301461
2,8,differential,0.33956788275105243
2,9,zero-sum,0.2872281441508047
2,10,nash,0.28420423034510717
2,11,time,0.26274867163043497
2,12,information,0.21450301962573012
2,13,payoff,0.2048491305995485
2,14,strategy,0.18561102353330003
2,15,saddle,0.18078085624134355
3,1,algorithm,0.723928832664085
3,2,convergence,0.7230258919353638
3,3,method,0.6819497481536231
3,4,problems,0.4588169295095204
3,5,numerical,0.421689642575392
3,6,optimization,0.4162214785217643
3,7,methods,0.3863403361029116
3,8,algorithms,0.371697766406262
3,9,approximation,0.31817727460939793
3,10,convex,0.26336354620376234
3,11,problem,0.2414997560923601
3,12,error,0.23478458480428446
3,13,based,0.22921331535681674
3,14,proposed,0.2275838048950222
3,15,results,0.20537873970078818
4,1,boundary,1.332448126484162
4,2,controllability,1.0291997319789092
4,3,equations,0.4672464698507037
4,4,exact,0.4262409604412507
4,5,equation,0.4238923398912197
4,6,wave,0.38380120714540394
4,7,domain,0.37575161324737494
4,8,control,0.287484515872849
4,9,prove,0.27315389391349093
4,10,dirichlet,0.26919960666725373
4,11,controls,0.2577050904734366
4,12,parabolic,0.22735149736128799
4,13,observability,0.22126509028885233
4,14,null,0.2114154078487579
4,15,controllable,0.19828168152585698
5,1,conditions,1.25412113835823
5,2,necessary,0.843662454657195
5,3,sufficient,0.6680507304222014
5,4,optimality,0.6551482589673614
5,5,constraints,0.5542448584016822
5,6,condition,0.4302472140034507
5,7,problems,0.3334612588946078
5,8,principle,0.2758321917414557
5,9,second-order,0.26462647206366263
5,10,given,0.23314923766278853
5,11,local,0.22920838404652727
5,12,constraint,0.21900570765051797
5,13,state,0.21766549480819047
5,14,generalized,0.2131255309800314
5,15,order,0.20998256132722443
6,1,stochastic,1.5458169589413793
6,2,process,0.6727227680675398
6,3,processes,0.4505826188872867
6,4,differential,0.4487784931018461
6,5,equations,0.438552077890886
6,6,markov,0.3366472627164496
6,7,backward,0.2996331002675624
6,8,noise,0.28873467838675726
6,9,diffusion,0.2694195775314173
6,10,random,0.23898430729398784
6,11,deterministic,0.22142144081025147
6,12,principle,0.21774929787131586
6,13,partial,0.19478475452608848
6,14,maximum,0.16908237440184554
6,15,pp,0.16546813017083103
7,1,solution,0.9803173230802629
7,2,problem,0.9564779348029335
7,3,equation,0.9032472027703364
7,4,solutions,0.5134613192371562
7,5,function,0.4779686612996288
7,6,riccati,0.4701686733174857
7,7,value,0.4227639946588078
7,8,viscosity,0.3775817472527911
7,9,associated,0.29107571972618473
7,10,existence,0.2883761745037845
7,11,unique,0.23636654549281527
7,12,jacobi,0.21206733819947102
7,13,hjb,0.2098900753801277
7,14,hamilton,0.2084611980204285
7,15,uniqueness,0.20269429884221687
8,1,omega,1.0829435094536588
8,2,mathcal,0.7373359923263396
8,3,phi,0.472105124081171
8,4,mathbb,0.43502713687972383
8,5,alpha,0.41947346735584584
8,6,infty,0.41085618626509474
8,7,set,0.4052258331247074
8,8,sigma,0.3729398272765674
8,9,cdot,0.3334061230998391
8,10,subset,0.31935366090117084
8,11,function,0.2861822554047751
8,12,leqq,0.2743216015705659
8,13,left,0.23689422410671304
8,14,times,0.2361381192071633
8,15,right,0.22670553106299898
