journal,status,n_documents,n_topics,n_vocabulary,reconstruction_error,result_dir
Applied Mathematics & Optimization,success,1291,5,1674,34.475619602544015,results/baseline/applied_mathematics_optimization
CPAIOR,success,471,5,1088,20.55220288470157,results/baseline/cpaior
Computational Optimization and Applications,success,1556,6,2330,37.67368781978079,results/baseline/computational_optimization_and_applications
Engineering Optimization,success,1998,6,3143,42.899189771337994,results/baseline/engineering_optimization
Evolutionary Multi-Criterion Optimization,success,447,5,1119,19.943369101418497,results/baseline/evolutionary_multi_criterion_optimization
Fixed Point Theory and Applications,success,321,5,353,15.486764590984668,results/baseline/fixed_point_theory_and_applications
Global Optimization,success,2455,7,2941,47.38630963630536,results/baseline/global_optimization
Journal of Optimization Theory and Applications,success,6613,12,4371,77.66601005048037,results/baseline/journal_of_optimization_theory_and_applications
Mathematical Programming,success,3334,8,3430,55.48851682698391,results/baseline/mathematical_programming
Mathematics of Operations Research,success,2188,7,2996,44.9967215695834,results/baseline/mathematics_of_operations_research
Optimization,success,3355,8,2917,55.12932329054581,results/baseline/optimization
Optimization Letters,success,1163,5,1848,32.74134732899394,results/baseline/optimization_letters
Optimization Methods and Software,success,1233,5,2048,33.66043048745833,results/baseline/optimization_methods_and_software
Optimization and Engineering,success,528,5,1458,21.89836570315732,results/baseline/optimization_and_engineering
SIAM Journal on Control and Optimization,success,4489,9,3770,64.24557699520551,results/baseline/siam_journal_on_control_and_optimization
SIAM Journal on Optimization,success,2013,6,2686,43.016613852253855,results/baseline/siam_journal_on_optimization
Structural and Multidisciplinary Optimization,success,2996,8,3942,52.491727433185766,results/baseline/structural_and_multidisciplinary_optimization
esaim-cocv,success,976,5,1541,29.78908596389297,results/baseline/esaim_cocv
