period,topic,prevalence,n_docs
1974,topic_0,0.23839893397608333,5
1974,topic_1,0.1023116317557253,5
1974,topic_2,0.2829766680723084,5
1974,topic_3,0.1463501882497416,5
1974,topic_4,0.2299625779461414,5
1975,topic_0,0.16829565306666844,20
1975,topic_1,0.30048884585894203,20
1975,topic_2,0.12052202594285487,20
1975,topic_3,0.19235798633234563,20
1975,topic_4,0.21833548879918904,20
1976,topic_0,0.18185222450638697,16
1976,topic_1,0.2818940786590535,16
1976,topic_2,0.19852104419149455,16
1976,topic_3,0.19719674745265112,16
1976,topic_4,0.14053590519041387,16
1977,topic_0,0.13304325453161306,17
1977,topic_1,0.29279771769050533,17
1977,topic_2,0.08760809991798026,17
1977,topic_3,0.21482419229048355,17
1977,topic_4,0.2717267355694178,17
1979,topic_0,0.28609025608958827,19
1979,topic_1,0.24981035461472972,19
1979,topic_2,0.13239310725995942,19
1979,topic_3,0.05202674474228823,19
1979,topic_4,0.27967953729343437,19
1980,topic_0,0.17571231611452748,20
1980,topic_1,0.18865105054861764,20
1980,topic_2,0.138294333064652,20
1980,topic_3,0.10046185718295265,20
1980,topic_4,0.3968804430892502,20
1981,topic_0,0.19138644997190643,19
1981,topic_1,0.15056757420349187,19
1981,topic_2,0.09771978663646942,19
1981,topic_3,0.2777896926192677,19
1981,topic_4,0.28253649656886465,19
1982,topic_0,0.14512004379137328,32
1982,topic_1,0.297355991410926,32
1982,topic_2,0.1676456565975364,32
1982,topic_3,0.07356217445463431,32
1982,topic_4,0.31631613374553,32
1983,topic_0,0.1417876522302265,18
1983,topic_1,0.28453309181049957,18
1983,topic_2,0.1778718099342179,18
1983,topic_3,0.13552181462159524,18
1983,topic_4,0.2602856314034608,18
1984,topic_0,0.2669568790355587,31
1984,topic_1,0.2891698014673554,31
1984,topic_2,0.1309044834413401,31
1984,topic_3,0.11930169881191018,31
1984,topic_4,0.19366713724383552,31
1985,topic_0,0.254475198993513,16
1985,topic_1,0.23561827950590458,16
1985,topic_2,0.16377471932210444,16
1985,topic_3,0.10985629490162659,16
1985,topic_4,0.23627550727685143,16
1986,topic_0,0.1764378353333331,16
1986,topic_1,0.22840339591939257,16
1986,topic_2,0.22801532474049999,16
1986,topic_3,0.10141700549596222,16
1986,topic_4,0.26572643851081207,16
1987,topic_0,0.15596843522695797,25
1987,topic_1,0.16428745867507671,25
1987,topic_2,0.24748410448179303,25
1987,topic_3,0.11885791295758416,25
1987,topic_4,0.31340208865858815,25
1988,topic_0,0.18723362688931725,27
1988,topic_1,0.3480155162966354,27
1988,topic_2,0.1102849664740173,27
1988,topic_3,0.12465092509998038,27
1988,topic_4,0.22981496524004957,27
1989,topic_0,0.2331751230495002,33
1989,topic_1,0.09277930270252772,33
1989,topic_2,0.26660438059927255,33
1989,topic_3,0.19557447311523102,33
1989,topic_4,0.21186672053346858,33
1990,topic_0,0.1392740445721812,31
1990,topic_1,0.255672843561649,31
1990,topic_2,0.1621753777960688,31
1990,topic_3,0.13325649093983202,31
1990,topic_4,0.30962124313026906,31
1991,topic_0,0.1916455719354041,30
1991,topic_1,0.28077550833670206,30
1991,topic_2,0.17248126584579623,30
1991,topic_3,0.16036106458584962,30
1991,topic_4,0.19473658929624796,30
1992,topic_0,0.21944254743272942,29
1992,topic_1,0.27552742113940176,29
1992,topic_2,0.14718569344368795,29
1992,topic_3,0.15984229853718152,29
1992,topic_4,0.19800203944699932,29
1993,topic_0,0.18163624114610447,32
1993,topic_1,0.21297254677466854,32
1993,topic_2,0.15520621750879107,32
1993,topic_3,0.18180621029876998,32
1993,topic_4,0.26837878427166595,32
1994,topic_0,0.2267860568331216,30
1994,topic_1,0.30596230007757386,30
1994,topic_2,0.19131325536472465,30
1994,topic_3,0.10987566791545603,30
1994,topic_4,0.16606271980912385,30
1995,topic_0,0.19447379481124447,29
1995,topic_1,0.27002481785580285,29
1995,topic_2,0.19456612765524253,29
1995,topic_3,0.09478750800193589,29
1995,topic_4,0.2461477516757744,29
1996,topic_0,0.19749294754323773,32
1996,topic_1,0.2454565332287026,32
1996,topic_2,0.1580956460115376,32
1996,topic_3,0.1769347093351083,32
1996,topic_4,0.22202016388141385,32
1997,topic_0,0.14740958497381138,33
1997,topic_1,0.28190805206183805,33
1997,topic_2,0.15662317227683845,33
1997,topic_3,0.1465477635539144,33
1997,topic_4,0.2675114271335978,33
1998,topic_0,0.14543004764413442,27
1998,topic_1,0.24414776330569532,27
1998,topic_2,0.26425102731286837,27
1998,topic_3,0.15191759083742473,27
