period,topic,prevalence,n_docs
1992-10,topic_0,0.263302340909739,4
1992-10,topic_1,0.09874117046466203,4
1992-10,topic_2,0.19718676476608893,4
1992-10,topic_3,0.06990745436077986,4
1992-10,topic_4,0.19932086482892153,4
1992-10,topic_5,0.17154140466980866,4
1992-11,topic_0,0.06145341396671922,5
1992-11,topic_1,0.036342460966551755,5
1992-11,topic_2,0.20620481358448947,5
1992-11,topic_3,0.22424973086029895,5
1992-11,topic_4,0.339131548575693,5
1992-11,topic_5,0.13261803204624764,5
1992-12,topic_0,0.22075259699622313,5
1992-12,topic_1,0.02016753423832115,5
1992-12,topic_2,0.152376633183195,5
1992-12,topic_3,0.08232983378290848,5
1992-12,topic_4,0.34744462967426165,5
1992-12,topic_5,0.17692877212509064,5
1993-04,topic_0,0.10647925832778454,4
1993-04,topic_1,0.0,4
1993-04,topic_2,0.08836636143045887,4
1993-04,topic_3,0.27199201444263904,4
1993-04,topic_4,0.3105096041983191,4
1993-04,topic_5,0.22265276160079855,4
1993-06,topic_0,0.23052664194869324,4
1993-06,topic_1,0.26393829632923027,4
1993-06,topic_2,0.04145370636274944,4
1993-06,topic_3,0.0033709917650232954,4
1993-06,topic_4,0.25240789990438395,4
1993-06,topic_5,0.2083024636899198,4
1993-10,topic_0,0.19880456170423155,4
1993-10,topic_1,0.009602803010910354,4
1993-10,topic_2,0.1367114027418162,4
1993-10,topic_3,0.1906286738966665,4
1993-10,topic_4,0.13671575813233633,4
1993-10,topic_5,0.327536800514039,4
1993-11,topic_0,0.0,4
1993-11,topic_1,0.034407226721734914,4
1993-11,topic_2,0.27274638338482643,4
1993-11,topic_3,0.06991288933310788,4
1993-11,topic_4,0.35066036035948983,4
1993-11,topic_5,0.2722731402008408,4
1993-12,topic_0,0.09746347168071336,4
1993-12,topic_1,0.25946716035011635,4
1993-12,topic_2,0.27580078299390776,4
1993-12,topic_3,0.05146430767430258,4
1993-12,topic_4,0.13134469826875697,4
1993-12,topic_5,0.1844595790322029,4
1994-03,topic_0,0.10802202312773931,4
1994-03,topic_1,0.07356145206398856,4
1994-03,topic_2,0.24234066135682591,4
1994-03,topic_3,0.07709585445554379,4
1994-03,topic_4,0.3294898242940581,4
1994-03,topic_5,0.16949018470184435,4
1994-05,topic_0,0.16475503729136573,5
1994-05,topic_1,0.027952753364222455,5
1994-05,topic_2,0.2055792990902373,5
1994-05,topic_3,0.22302569789121066,5
1994-05,topic_4,0.22323344609948484,5
1994-05,topic_5,0.15545376626347907,5
