period,topic,prevalence,n_docs
2004,topic_0,0.15282579134571134,31
2004,topic_1,0.2406789111702868,31
2004,topic_2,0.16392914053424473,31
2004,topic_3,0.26901702308281317,31
2004,topic_4,0.17354913386694398,31
2005,topic_0,0.10621316143831103,29
2005,topic_1,0.2224565396393816,29
2005,topic_2,0.24473628829051317,29
2005,topic_3,0.259155485502585,29
2005,topic_4,0.1674385251292092,29
2006,topic_0,0.06805191521173481,23
2006,topic_1,0.33205010185519385,23
2006,topic_2,0.14522439342759993,23
2006,topic_3,0.2437826018000876,23
2006,topic_4,0.21089098770538378,23
2007,topic_0,0.0871425389366299,27
2007,topic_1,0.23775427311994865,27
2007,topic_2,0.21680004137139985,27
2007,topic_3,0.2835521254143482,27
2007,topic_4,0.17475102115767335,27
2008,topic_0,0.18233591103897473,43
2008,topic_1,0.19629008597125036,43
2008,topic_2,0.23909419020800432,43
2008,topic_3,0.21856303117836484,43
2008,topic_4,0.1637167816034056,43
2009,topic_0,0.18045504079032698,32
2009,topic_1,0.22979199436343564,32
2009,topic_2,0.13357242231665226,32
2009,topic_3,0.29167858899059285,32
2009,topic_4,0.16450195353899225,32
2010,topic_0,0.18039573390939692,38
2010,topic_1,0.1894385327584772,38
2010,topic_2,0.18756623325820818,38
2010,topic_3,0.24815489508874916,38
2010,topic_4,0.19444460498516852,38
2011,topic_0,0.07924320460590757,23
2011,topic_1,0.27222535929606095,23
2011,topic_2,0.15387343850050722,23
2011,topic_3,0.2939933191866559,23
2011,topic_4,0.20066467841086835,23
2012,topic_0,0.14941998477233015,26
2012,topic_1,0.20055132303083237,26
2012,topic_2,0.25591299332989703,26
2012,topic_3,0.2548860404736197,26
2012,topic_4,0.13922965839332058,26
2013,topic_0,0.22553161120308896,31
2013,topic_1,0.1568066504744552,31
2013,topic_2,0.10360046288101647,31
2013,topic_3,0.20287057998311006,31
2013,topic_4,0.3111906954583293,31
2014,topic_0,0.18441869335248146,33
2014,topic_1,0.18714300130794384,33
2014,topic_2,0.18675654468512545,33
2014,topic_3,0.3596621744954455,33
2014,topic_4,0.08201958615900361,33
2015,topic_0,0.19021423234253884,30
2015,topic_1,0.1677875061756348,30
2015,topic_2,0.2539268202967058,30
2015,topic_3,0.2581967954323119,30
2015,topic_4,0.12987464575280844,30
2016,topic_0,0.2630749357556662,29
2016,topic_1,0.23172274544254629,29
2016,topic_2,0.0975451024758185,29
2016,topic_3,0.3125637331117228,29
2016,topic_4,0.09509348321424617,29
2017,topic_0,0.15348283338480662,32
2017,topic_1,0.21355837564913446,32
2017,topic_2,0.11314170072188412,32
2017,topic_3,0.3180587656990638,32
2017,topic_4,0.20175832454511095,32
2018,topic_0,0.16110461930698322,44
2018,topic_1,0.17524318590607674,44
2018,topic_2,0.19083233654973009,44
2018,topic_3,0.3085983533205272,44
2018,topic_4,0.16422150491668272,44
