period,topic,prevalence,n_docs
1975,topic_0,0.12501025862842136,20
1975,topic_1,0.07610989285646878,20
1975,topic_2,0.08448601997582408,20
1975,topic_3,0.20759275441685693,20
1975,topic_4,0.22279483295497532,20
1975,topic_5,0.28400624116745354,20
1977,topic_0,0.16872888714170226,26
1977,topic_1,0.0533927705011986,26
1977,topic_2,0.09557939293723891,26
1977,topic_3,0.2259177737387847,26
1977,topic_4,0.21007081029075195,26
1977,topic_5,0.2463103653903237,26
1978,topic_0,0.18935875248316777,24
1978,topic_1,0.03483926739887192,24
1978,topic_2,0.14787577278186073,24
1978,topic_3,0.11793430879007531,24
1978,topic_4,0.2374110297903169,24
1978,topic_5,0.2725808687557074,24
1980,topic_0,0.19438763869078812,23
1980,topic_1,0.07692133891993641,23
1980,topic_2,0.11037086294400703,23
1980,topic_3,0.11460660091322605,23
1980,topic_4,0.181196368465987,23
1980,topic_5,0.3225171900660554,23
1982,topic_0,0.24016128711106485,21
1982,topic_1,0.034246066086949085,21
1982,topic_2,0.07697993432910459,21
1982,topic_3,0.0663400795095935,21
1982,topic_4,0.1699778579425117,21
1982,topic_5,0.4122947750207762,21
1983,topic_0,0.17409868963520994,20
1983,topic_1,0.14021658489340563,20
1983,topic_2,0.07044726363629533,20
1983,topic_3,0.09699992387606421,20
1983,topic_4,0.2619207652409418,20
1983,topic_5,0.25631677271808306,20
1984,topic_0,0.18306278895508368,20
1984,topic_1,0.050611977835301976,20
1984,topic_2,0.20253155595227723,20
1984,topic_3,0.1470468165422982,20
1984,topic_4,0.17997027746077263,20
1984,topic_5,0.2367765832542662,20
1985,topic_0,0.1452224501496159,21
1985,topic_1,0.051537900839792525,21
1985,topic_2,0.06238175808036737,21
1985,topic_3,0.10550520735869011,21
1985,topic_4,0.2437671601442494,21
1985,topic_5,0.39158552342728464,21
1986,topic_0,0.20839029552033825,24
1986,topic_1,0.031201345709064184,24
1986,topic_2,0.08202364637831519,24
1986,topic_3,0.18689005358379665,24
1986,topic_4,0.17845954495531544,24
1986,topic_5,0.3130351138531704,24
1987,topic_0,0.1435461751302354,76
1987,topic_1,0.06894549381163359,76
1987,topic_2,0.11447275599828706,76
1987,topic_3,0.12120619477858172,76
1987,topic_4,0.20291934177905974,76
1987,topic_5,0.3489100385022024,76
1988,topic_0,0.15773511348325167,22
1988,topic_1,0.0736247939745047,22
1988,topic_2,0.12114406107925911,22
1988,topic_3,0.17961609411541452,22
1988,topic_4,0.2215549734953141,22
1988,topic_5,0.24632496385225583,22
1989,topic_0,0.12875151099515597,21
1989,topic_1,0.05877197457017324,21
1989,topic_2,0.23909224380667782,21
1989,topic_3,0.1429917089578172,21
1989,topic_4,0.19719568946280777,21
1989,topic_5,0.2331968722073679,21
1990,topic_0,0.1895973000719475,42
1990,topic_1,0.059587144711569215,42
1990,topic_2,0.18990593759779725,42
1990,topic_3,0.1638101794933212,42
1990,topic_4,0.19223285726523687,42
1990,topic_5,0.20486658086012804,42
1991,topic_0,0.16663458567023046,20
1991,topic_1,0.07834725533423606,20
1991,topic_2,0.1346189794605305,20
1991,topic_3,0.23495105490058638,20
1991,topic_4,0.07920842524251938,20
1991,topic_5,0.3062396993918972,20
1992,topic_0,0.18948627205296448,39
1992,topic_1,0.06954396510217456,39
1992,topic_2,0.0959456984884763,39
1992,topic_3,0.1929031213229888,39
1992,topic_4,0.16770238025480325,39
1992,topic_5,0.28441856277859257,39
1993,topic_0,0.17487061904501205,37
1993,topic_1,0.08030854926389615,37
1993,topic_2,0.1664221674319744,37
1993,topic_3,0.17499383222513934,37
1993,topic_4,0.20095664664108903,37
1993,topic_5,0.20244818539288914,37
1994,topic_0,0.1992706075844984,19
1994,topic_1,0.0687943766043808,19
1994,topic_2,0.23164249577251805,19
1994,topic_3,0.24981155569018235,19
1994,topic_4,0.10830440450611935,19
1994,topic_5,0.14217655984230104,19
1995,topic_0,0.14294026920210628,38
1995,topic_1,0.14598528303760688,38
1995,topic_2,0.1740325686858202,38
1995,topic_3,0.17181290262347967,38
1995,topic_4,0.2149316632035101,38
1995,topic_5,0.15029731324747686,38
1996,topic_0,0.1761696429907456,36
1996,topic_1,0.028262945837852303,36
1996,topic_2,0.18909320610701583,36
1996,topic_3,0.18575122439285005,36
