period,topic,prevalence,n_docs
1996.0,topic_0,0.025435245300190628,10
1996.0,topic_1,0.7012915677268979,10
1996.0,topic_2,0.06515658716620781,10
1996.0,topic_3,0.19267622893116737,10
1996.0,topic_4,0.015440370875536215,10
1997.0,topic_0,0.039748696823885044,15
1997.0,topic_1,0.6855721508073488,15
1997.0,topic_2,0.0980799743911841,15
1997.0,topic_3,0.13194570645787854,15
1997.0,topic_4,0.044653471519703336,15
1998.0,topic_0,0.03659440493269582,18
1998.0,topic_1,0.706580747702607,18
1998.0,topic_2,0.1079715882758348,18
1998.0,topic_3,0.09361287883918926,18
1998.0,topic_4,0.055240380249673045,18
1999.0,topic_0,0.029078502706762377,27
1999.0,topic_1,0.7310152645289201,27
1999.0,topic_2,0.07214419371111216,27
1999.0,topic_3,0.10065661111488525,27
1999.0,topic_4,0.0671054279383203,27
2000.0,topic_0,0.1323988326951887,24
2000.0,topic_1,0.32648567813258705,24
2000.0,topic_2,0.20182013125046983,24
2000.0,topic_3,0.18729480721341724,24
2000.0,topic_4,0.15200055070833723,24
2001.0,topic_0,0.1381697320419971,28
2001.0,topic_1,0.19171137272871927,28
2001.0,topic_2,0.24340540113347786,28
2001.0,topic_3,0.22884980114731987,28
2001.0,topic_4,0.1978636929484859,28
2002.0,topic_0,0.2106449681302707,24
2002.0,topic_1,0.1527776866366013,24
2002.0,topic_2,0.26101534747384886,24
2002.0,topic_3,0.21082115802299084,24
2002.0,topic_4,0.16474083973628822,24
2003.0,topic_0,0.16348824646713817,44
2003.0,topic_1,0.15553109084794275,44
2003.0,topic_2,0.2173402774962786,44
2003.0,topic_3,0.2064087191658394,44
2003.0,topic_4,0.257231666022801,44
2004.0,topic_0,0.26485026744822926,33
2004.0,topic_1,0.11529314245313797,33
2004.0,topic_2,0.17651296468262417,33
2004.0,topic_3,0.2581012521913422,33
2004.0,topic_4,0.1852423732246664,33
2005.0,topic_0,0.4646935990379434,8
2005.0,topic_1,0.009107013829372592,8
2005.0,topic_2,0.2212452124960762,8
2005.0,topic_3,0.11638231677844693,8
2005.0,topic_4,0.18857185785816097,8
2006.0,topic_0,0.3221369798159911,8
2006.0,topic_1,0.006007914174248348,8
2006.0,topic_2,0.21168902009789903,8
2006.0,topic_3,0.03452317356634118,8
2006.0,topic_4,0.4256429123455203,8
2007.0,topic_0,0.23309701602711153,6
2007.0,topic_1,0.013773122789279271,6
2007.0,topic_2,0.17304295912342327,6
2007.0,topic_3,0.3488818063506715,6
2007.0,topic_4,0.23120509570951447,6
2008.0,topic_0,0.25783602760580515,14
2008.0,topic_1,0.1399830867199617,14
2008.0,topic_2,0.4213924088121733,14
2008.0,topic_3,0.05808686502768701,14
2008.0,topic_4,0.12270161183437288,14
2009.0,topic_0,0.3030340588311831,7
2009.0,topic_1,0.03694731674627912,7
2009.0,topic_2,0.14250264307466032,7
2009.0,topic_3,0.08974270029653421,7
2009.0,topic_4,0.42777328105134327,7
2010.0,topic_0,0.15939010022834016,8
2010.0,topic_1,0.007189189345680356,8
2010.0,topic_2,0.24626194017327221,8
2010.0,topic_3,0.3538933685374685,8
2010.0,topic_4,0.23326540171523863,8
2011.0,topic_0,0.2780261623023672,8
2011.0,topic_1,0.0056557366948683215,8
2011.0,topic_2,0.17096241545294674,8
2011.0,topic_3,0.2885174272482572,8
2011.0,topic_4,0.25683825830156054,8
2012.0,topic_0,0.23283625992160498,9
2012.0,topic_1,0.09350460044200516,9
2012.0,topic_2,0.2647745083960849,9
2012.0,topic_3,0.18031467308812443,9
