period,topic,prevalence,n_docs
2001,topic_0,0.12491637188942717,49
2001,topic_1,0.2908215327066393,49
2001,topic_2,0.27100164621018746,49
2001,topic_3,0.20823771146554554,49
2001,topic_4,0.10502273772820045,49
2003,topic_0,0.16498993041965693,49
2003,topic_1,0.24267290007868542,49
2003,topic_2,0.32887344560538356,49
2003,topic_3,0.20809185621528498,49
2003,topic_4,0.05537186768098924,49
2005,topic_0,0.14927874187106555,49
2005,topic_1,0.21979454917466304,49
2005,topic_2,0.29008206991636226,49
2005,topic_3,0.24269748528490392,49
2005,topic_4,0.09814715375300527,49
2007,topic_0,0.1667494493266225,49
2007,topic_1,0.27086948266133454,49
2007,topic_2,0.2174196368845576,49
2007,topic_3,0.22380945846561515,49
2007,topic_4,0.12115197266187025,49
2009,topic_0,0.171438531919094,44
2009,topic_1,0.21729319512252004,44
2009,topic_2,0.2456654485057921,44
2009,topic_3,0.19773649387203077,44
2009,topic_4,0.1678663305805632,44
2011,topic_0,0.1428153364568924,42
2011,topic_1,0.18586018921321223,42
2011,topic_2,0.1855374400272924,42
2011,topic_3,0.21938429005217555,42
2011,topic_4,0.26640274425042737,42
2013,topic_0,0.1466083436277904,49
2013,topic_1,0.20556401160945548,49
2013,topic_2,0.2181156058423917,49
2013,topic_3,0.23243145192852974,49
2013,topic_4,0.19728058699183276,49
2015,topic_0,0.1978872192395908,27
2015,topic_1,0.22228483950499284,27
2015,topic_2,0.23318167450615332,27
2015,topic_3,0.19508113396026866,27
2015,topic_4,0.1515651327889943,27
2017,topic_0,0.14938470436541434,46
2017,topic_1,0.16050474482481808,46
2017,topic_2,0.2126489111785163,46
2017,topic_3,0.29484823930395615,46
2017,topic_4,0.182613400327295,46
2019,topic_0,0.1928167521568538,43
2019,topic_1,0.12393819265792985,43
2019,topic_2,0.30035452489846526,43
2019,topic_3,0.26984029278431104,43
2019,topic_4,0.1130502375024402,43
