period,topic,prevalence,n_docs
1991-03,topic_0,0.16420576908262585,7
1991-03,topic_1,0.029371058277681703,7
1991-03,topic_2,0.15539942149089656,7
1991-03,topic_3,0.2474246721335371,7
1991-03,topic_4,0.04230791073472592,7
1991-03,topic_5,0.058798888997107134,7
1991-03,topic_6,0.3024922792834256,7
1991-06,topic_0,0.09835043343000881,6
1991-06,topic_1,0.0010571187561341235,6
1991-06,topic_2,0.3465252288366433,6
1991-06,topic_3,0.1638002555643857,6
1991-06,topic_4,0.03907453306544571,6
1991-06,topic_5,0.03950077118779913,6
1991-06,topic_6,0.3116916591595833,6
1991-09,topic_0,0.12894569773883116,6
1991-09,topic_1,0.031205922913199746,6
1991-09,topic_2,0.2892085909443932,6
1991-09,topic_3,0.3583465677208896,6
1991-09,topic_4,0.0034358311780463176,6
1991-09,topic_5,0.02824659812234379,6
1991-09,topic_6,0.1606107913822963,6
1991-12,topic_0,0.1892288299160613,6
1991-12,topic_1,0.0,6
1991-12,topic_2,0.2010762157589941,6
1991-12,topic_3,0.2871447774911599,6
1991-12,topic_4,0.03254082177903375,6
1991-12,topic_5,0.001106799856026791,6
1991-12,topic_6,0.2889025551987242,6
1992-03,topic_0,0.14792120667382955,6
1992-03,topic_1,0.00995250819459552,6
1992-03,topic_2,0.3092665179209643,6
1992-03,topic_3,0.09939963103980691,6
1992-03,topic_4,0.009652007821656995,6
1992-03,topic_5,0.03690114135245098,6
1992-03,topic_6,0.38690698699669585,6
1992-06,topic_0,0.0663846554907339,8
1992-06,topic_1,0.021105931767997445,8
1992-06,topic_2,0.2292808576493475,8
1992-06,topic_3,0.38745180039833893,8
1992-06,topic_4,0.05142842187413922,8
1992-06,topic_5,0.09526051881131314,8
1992-06,topic_6,0.14908781400812995,8
1992-09,topic_0,0.1942750980647674,4
1992-09,topic_1,0.0820960171714379,4
1992-09,topic_2,0.023319622864851425,4
1992-09,topic_3,0.3307786859227281,4
1992-09,topic_4,0.0843919683577725,4
1992-09,topic_5,0.003953041920395302,4
1992-09,topic_6,0.2811855656980475,4
1992-12,topic_0,0.12173070072502104,4
1992-12,topic_1,0.01577011725284014,4
1992-12,topic_2,0.06416759880738267,4
1992-12,topic_3,0.22004083664585725,4
1992-12,topic_4,0.1015790564610439,4
1992-12,topic_5,0.12172703239735419,4
1992-12,topic_6,0.3549846577105007,4
1993-03,topic_0,0.12943072756018212,6
1993-03,topic_1,0.03306465845954472,6
1993-03,topic_2,0.09679444822045909,6
1993-03,topic_3,0.3746978435659217,6
1993-03,topic_4,0.0031221236752443727,6
1993-03,topic_5,0.11921644278506603,6
1993-03,topic_6,0.24367375573358208,6
1993-06,topic_0,0.13521593816264946,9
1993-06,topic_1,0.07561068908414864,9
1993-06,topic_2,0.17466025431151994,9
1993-06,topic_3,0.38313903475065114,9
1993-06,topic_4,0.07251781963964767,9
1993-06,topic_5,0.024760776996015494,9
1993-06,topic_6,0.13409548705536764,9
1993-09,topic_0,0.15157766369360334,7
1993-09,topic_1,0.000788034247356649,7
1993-09,topic_2,0.3275903498744154,7
1993-09,topic_3,0.15872561370660984,7
1993-09,topic_4,0.02239068730893978,7
1993-09,topic_5,0.08792120669338316,7
1993-09,topic_6,0.2510064444756918,7
1993-12,topic_0,0.21494825210592258,7
1993-12,topic_1,0.04807776677774746,7
1993-12,topic_2,0.0929966621054634,7
1993-12,topic_3,0.221560849432029,7
1993-12,topic_4,0.004584215009432662,7
