period,topic,prevalence,n_docs
1991,topic_0,0.14467141207959283,25
1991,topic_1,0.016196866851656642,25
1991,topic_2,0.24593969181119976,25
1991,topic_3,0.2621125474061173,25
1991,topic_4,0.029910893390169144,25
1991,topic_5,0.03376264362054767,25
1991,topic_6,0.2674059448407169,25
1992,topic_0,0.12092654239804589,22
1992,topic_1,0.025893021536200586,22
1992,topic_2,0.19215469007646246,22
1992,topic_3,0.25955479367846385,22
1992,topic_4,0.05288214989364739,22
1992,topic_5,0.06850284034109834,22
1992,topic_6,0.2800859620760815,22
1993,topic_0,0.15633265246110203,29
1993,topic_1,0.04003691184983688,29
1993,topic_2,0.18003467578674573,29
1993,topic_3,0.28475574994088537,29
1993,topic_4,0.028531667191009573,29
1993,topic_5,0.07765003086578809,29
1993,topic_6,0.23265831190463232,29
1994,topic_0,0.1447581327688547,49
1994,topic_1,0.02538474316907542,49
1994,topic_2,0.2084208555663564,49
1994,topic_3,0.26727349118070326,49
1994,topic_4,0.07270069739831043,49
1994,topic_5,0.06422894047170165,49
1994,topic_6,0.21723313944499817,49
1995,topic_0,0.09339499459619198,42
1995,topic_1,0.06579974246710352,42
1995,topic_2,0.18503724142571432,42
1995,topic_3,0.2387378205590937,42
1995,topic_4,0.07767358647937223,42
1995,topic_5,0.08865633700196061,42
1995,topic_6,0.2507002774705637,42
1996,topic_0,0.14871943059810466,54
1996,topic_1,0.04340917717353927,54
1996,topic_2,0.14590265494395085,54
1996,topic_3,0.22284278441794828,54
1996,topic_4,0.058793396024985775,54
1996,topic_5,0.07908383294179648,54
1996,topic_6,0.30124872389967483,54
1997,topic_0,0.14730743152392634,47
1997,topic_1,0.0397661531312744,47
1997,topic_2,0.1570237712703769,47
1997,topic_3,0.28670057728531345,47
1997,topic_4,0.07243991337844541,47
1997,topic_5,0.06529086213446215,47
1997,topic_6,0.23147129127620136,47
1998,topic_0,0.11771653059815759,50
1998,topic_1,0.05047567214865135,50
1998,topic_2,0.1438593427429838,50
1998,topic_3,0.23828112808387275,50
1998,topic_4,0.08225942432240858,50
1998,topic_5,0.12051843068356549,50
1998,topic_6,0.24688947142036047,50
1999,topic_0,0.13214535907039734,45
1999,topic_1,0.08823718909962273,45
1999,topic_2,0.2160917301846844,45
1999,topic_3,0.2316991847946236,45
1999,topic_4,0.07994906777215344,45
1999,topic_5,0.06909889699667056,45
1999,topic_6,0.18277857208184814,45
2000,topic_0,0.12844261228631507,67
2000,topic_1,0.10441656003853371,67
2000,topic_2,0.09214304130531573,67
2000,topic_3,0.23895547054013364,67
2000,topic_4,0.08328260053966774,67
2000,topic_5,0.12090907132822759,67
2000,topic_6,0.23185064396180646,67
