period,topic,prevalence,n_docs
1967-07,topic_0,0.2634258324136027,5
1967-07,topic_1,0.17603335331711936,5
1967-07,topic_2,0.0,5
1967-07,topic_3,0.005670209360153687,5
1967-07,topic_4,0.036832937017344775,5
1967-07,topic_5,0.15164999350218902,5
1967-07,topic_6,0.01103809612790788,5
1967-07,topic_7,0.03228945324289469,5
1967-07,topic_8,0.016243411332806115,5
1967-07,topic_9,0.11386916188019416,5
1967-07,topic_10,0.016774324510193478,5
1967-07,topic_11,0.17617322729559426,5
1967-09,topic_0,0.05483001047755046,5
1967-09,topic_1,0.21407440032567676,5
1967-09,topic_2,0.012141930150700064,5
1967-09,topic_3,0.03326793410826123,5
1967-09,topic_4,0.01649114457375074,5
1967-09,topic_5,0.08663071386850459,5
1967-09,topic_6,0.08831440455060398,5
1967-09,topic_7,0.09866234478685328,5
1967-09,topic_8,0.04895397123415891,5
1967-09,topic_9,0.11386627528945703,5
1967-09,topic_10,0.015899567326428575,5
1967-09,topic_11,0.2168673033080543,5
1967-11,topic_0,0.061525465289351905,5
1967-11,topic_1,0.18663526551888834,5
1967-11,topic_2,0.004113209176542716,5
1967-11,topic_3,0.030762410159822742,5
1967-11,topic_4,0.08688655241511756,5
1967-11,topic_5,0.11983658070625564,5
1967-11,topic_6,0.01953425615568289,5
1967-11,topic_7,0.07571286717803626,5
1967-11,topic_8,0.15588214011860707,5
1967-11,topic_9,0.0594985030921195,5
1967-11,topic_10,0.035054096758808856,5
1967-11,topic_11,0.1645586534307666,5
1968-01,topic_0,0.13312253483835987,5
1968-01,topic_1,0.25412273457211604,5
1968-01,topic_2,0.032580052392529785,5
1968-01,topic_3,0.028565275122871485,5
1968-01,topic_4,0.03243224752768888,5
1968-01,topic_5,0.12186739856057939,5
1968-01,topic_6,0.05172014078088595,5
1968-01,topic_7,0.008888797746942073,5
1968-01,topic_8,0.0037725289372237928,5
1968-01,topic_9,0.071645096279403,5
1968-01,topic_10,0.0,5
1968-01,topic_11,0.26128319324139965,5
1968-03,topic_0,0.13789901982772143,5
1968-03,topic_1,0.2892461011271468,5
1968-03,topic_2,0.0023251777013595216,5
1968-03,topic_3,0.04787001800083955,5
1968-03,topic_4,0.04545752502552291,5
1968-03,topic_5,0.009434167518030051,5
1968-03,topic_6,0.002825420430616788,5
1968-03,topic_7,0.16795791057520357,5
1968-03,topic_8,0.09636442293756116,5
1968-03,topic_9,0.06460316024979776,5
1968-03,topic_10,0.022195438630820047,5
1968-03,topic_11,0.1138216379753805,5
1968-05,topic_0,0.14976281964981994,5
1968-05,topic_1,0.14038955517934248,5
1968-05,topic_2,0.01394086330996657,5
1968-05,topic_3,0.0753689990060959,5
1968-05,topic_4,0.019327639438902977,5
1968-05,topic_5,0.1630353590046194,5
1968-05,topic_6,0.1249878542726727,5
1968-05,topic_7,0.04024118073813853,5
1968-05,topic_8,0.013971329217678413,5
1968-05,topic_9,0.10444766628871274,5
1968-05,topic_10,0.0033108677817135592,5
1968-05,topic_11,0.15121586611233664,5
1968-07,topic_0,0.09785776049231812,6
1968-07,topic_1,0.1125169118937303,6
1968-07,topic_2,0.021557288135856886,6
1968-07,topic_3,0.021511384610965988,6
1968-07,topic_4,0.1253782848179955,6
1968-07,topic_5,0.163327745426905,6
1968-07,topic_6,0.12723708904234748,6
1968-07,topic_7,0.023444054706470752,6
1968-07,topic_8,0.09740516729882258,6
1968-07,topic_9,0.10529383103435883,6
1968-07,topic_10,0.01476902797731564,6
1968-07,topic_11,0.08970145456291288,6
1968-09,topic_0,0.09916489195671106,6
1968-09,topic_1,0.32731235855309604,6
1968-09,topic_2,0.033997419782810144,6
1968-09,topic_3,0.013575459675864474,6
1968-09,topic_4,0.076982350992863,6
1968-09,topic_5,0.11219053431236052,6
1968-09,topic_6,0.09266777320479924,6
1968-09,topic_7,0.08682067886994488,6
1968-09,topic_8,0.014449178986076698,6
1968-09,topic_9,0.004032255515765797,6
1968-09,topic_10,0.029079938761599495,6
1968-09,topic_11,0.10972715938810879,6
1968-11,topic_0,0.07358136591295761,7
1968-11,topic_1,0.21442486760903162,7
1968-11,topic_2,0.021410461609605497,7
1968-11,topic_3,0.0610685779533815,7
1968-11,topic_4,0.05291678821222617,7
1968-11,topic_5,0.03747424505507988,7
1968-11,topic_6,0.01868771878540539,7
1968-11,topic_7,0.1034579565408363,7
1968-11,topic_8,0.033042373690636194,7
1968-11,topic_9,0.06354306491161613,7
1968-11,topic_10,0.06288696728010629,7
1968-11,topic_11,0.25750561243911735,7
1969-01,topic_0,0.03781429766523871,5
1969-01,topic_1,0.25717882540360415,5
1969-01,topic_2,0.03222743343599033,5
1969-01,topic_3,0.0838340879115415,5
1969-01,topic_4,0.002321653475903971,5
1969-01,topic_5,0.22119453269944797,5
1969-01,topic_6,0.04026082654146942,5
1969-01,topic_7,0.14393865973407263,5
1969-01,topic_8,0.0,5
1969-01,topic_9,0.005724138167508467,5
1969-01,topic_10,0.05587776428686997,5
