period,topic,prevalence,n_docs
1967,topic_0,0.11500121147855481,15
1967,topic_1,0.19345751801455366,15
1967,topic_2,0.005829690959793691,15
1967,topic_3,0.02471137777919302,15
1967,topic_4,0.0480118045102487,15
1967,topic_5,0.11683231663602035,15
1967,topic_6,0.041636825026615185,15
1967,topic_7,0.07185880009080406,15
1967,topic_8,0.07923518600820183,15
1967,topic_9,0.09386934779096304,15
1967,topic_10,0.02318705032980097,15
1967,topic_11,0.18636887137525063,15
1968,topic_0,0.1117804690946358,34
1968,topic_1,0.22684166650886464,34
1968,topic_2,0.021342131986081505,34
1968,topic_3,0.039092374725421056,34
1968,topic_4,0.06267333749401748,34
1968,topic_5,0.09669401823636256,34
1968,topic_6,0.06623545283518426,34
1968,topic_7,0.07457539202568063,34
1968,topic_8,0.04624079242524712,34
1968,topic_9,0.0667574231792112,34
1968,topic_10,0.0240878282095303,34
1968,topic_11,0.1636791132797635,34
1969,topic_0,0.05872699156689223,63
1969,topic_1,0.16674435948126567,63
1969,topic_2,0.037309169145027514,63
1969,topic_3,0.04307044244893327,63
1969,topic_4,0.10975941255668445,63
1969,topic_5,0.10328867217993307,63
1969,topic_6,0.05458715247685561,63
1969,topic_7,0.11097438368738052,63
1969,topic_8,0.06318147687174548,63
1969,topic_9,0.04941920234347753,63
1969,topic_10,0.08400174610665599,63
1969,topic_11,0.11893699113514873,63
1970,topic_0,0.04865691974932971,58
1970,topic_1,0.19213800277207801,58
1970,topic_2,0.05475410414978898,58
1970,topic_3,0.03982843087416145,58
1970,topic_4,0.1338466259386523,58
1970,topic_5,0.11572211968677881,58
1970,topic_6,0.051504001909676904,58
1970,topic_7,0.08681852001444164,58
1970,topic_8,0.05376977649833946,58
1970,topic_9,0.06459034028114587,58
1970,topic_10,0.06235674520346976,58
1970,topic_11,0.09601441292213715,58
1971,topic_0,0.039792300009950335,63
1971,topic_1,0.21198749460916974,63
1971,topic_2,0.04865835342481805,63
1971,topic_3,0.031998273531037465,63
1971,topic_4,0.10251656198439939,63
1971,topic_5,0.09973424278355279,63
1971,topic_6,0.07118287802728726,63
1971,topic_7,0.09101994555035428,63
1971,topic_8,0.05780112812822866,63
1971,topic_9,0.08228928855888809,63
1971,topic_10,0.04038256326091361,63
1971,topic_11,0.12263697013140022,63
1972,topic_0,0.06887631489224269,60
1972,topic_1,0.2052615776495432,60
1972,topic_2,0.05765986640245633,60
1972,topic_3,0.03755318917409159,60
1972,topic_4,0.10200118981436392,60
1972,topic_5,0.07359548074504617,60
1972,topic_6,0.05504340037217711,60
1972,topic_7,0.10934637890829585,60
1972,topic_8,0.040027586924966566,60
1972,topic_9,0.06631908915065306,60
1972,topic_10,0.06473656411082104,60
1972,topic_11,0.11957936185534254,60
1973,topic_0,0.0670387048913723,99
1973,topic_1,0.1782313045281553,99
1973,topic_2,0.027125350151949126,99
1973,topic_3,0.03911610711297922,99
1973,topic_4,0.07991649288519889,99
1973,topic_5,0.11537529345828507,99
1973,topic_6,0.027007532161522525,99
1973,topic_7,0.09832052624227697,99
1973,topic_8,0.07334326721342613,99
1973,topic_9,0.07819217940444158,99
1973,topic_10,0.07643397177298118,99
1973,topic_11,0.13989927017741186,99
1974,topic_0,0.07517457774628367,80
1974,topic_1,0.1744681577441274,80
1974,topic_2,0.03238386988752415,80
1974,topic_3,0.028542091814521844,80
1974,topic_4,0.10068397913419085,80
1974,topic_5,0.1199532080282545,80
1974,topic_6,0.05616080480092325,80
1974,topic_7,0.09366533995730243,80
1974,topic_8,0.04544005527216634,80
1974,topic_9,0.05809796281255151,80
1974,topic_10,0.06254942077874111,80
1974,topic_11,0.15288053202341295,80
1975,topic_0,0.051035740746876994,101
1975,topic_1,0.1921999618222929,101
1975,topic_2,0.048705922621693876,101
1975,topic_3,0.030717253127158735,101
1975,topic_4,0.0313392732742364,101
1975,topic_5,0.10828651880439571,101
1975,topic_6,0.061180764376817076,101
1975,topic_7,0.08011646812528553,101
1975,topic_8,0.10235371149511255,101
1975,topic_9,0.09580137937315485,101
1975,topic_10,0.0875333312885868,101
1975,topic_11,0.11072967494438869,101
1976,topic_0,0.06227917344411044,108
1976,topic_1,0.17853988587691075,108
1976,topic_2,0.046069923038358704,108
1976,topic_3,0.039650958536110247,108
1976,topic_4,0.09359606498899908,108
1976,topic_5,0.11831424021674888,108
1976,topic_6,0.09267907344330423,108
1976,topic_7,0.06994166505975821,108
1976,topic_8,0.0842099900984098,108
1976,topic_9,0.06461447569851651,108
1976,topic_10,0.05014221480281979,108
1976,topic_11,0.0999623347959535,108
1977,topic_0,0.08133732277722859,111
