period,topic,prevalence,n_docs
1976-02,topic_0,0.12345966305162556,8
1976-02,topic_1,0.050005976912324675,8
1976-02,topic_2,0.24488575058229936,8
1976-02,topic_3,0.1666815525512421,8
1976-02,topic_4,0.11739637948233286,8
1976-02,topic_5,0.23144228233406164,8
1976-02,topic_6,0.06612839508611375,8
1976-05,topic_0,0.22675944028780654,8
1976-05,topic_1,0.043430312635266505,8
1976-05,topic_2,0.036238308644161665,8
1976-05,topic_3,0.11167062343943017,8
1976-05,topic_4,0.14903633130890043,8
1976-05,topic_5,0.23937015869316508,8
1976-05,topic_6,0.19349482499126971,8
1976-08,topic_0,0.22508110590945016,9
1976-08,topic_1,0.13850118466236386,9
1976-08,topic_2,0.3021428444937081,9
1976-08,topic_3,0.1415784646154578,9
1976-08,topic_4,0.020765032521558063,9
1976-08,topic_5,0.13754609101927137,9
1976-08,topic_6,0.034385276778190796,9
1976-11,topic_0,0.08574792233774035,7
1976-11,topic_1,0.2663189206475582,7
1976-11,topic_2,0.12878241450186104,7
1976-11,topic_3,0.04531572546660208,7
1976-11,topic_4,0.24811769926157115,7
1976-11,topic_5,0.21069652788036694,7
1976-11,topic_6,0.015020789904300329,7
1977-02,topic_0,0.13587745155782494,11
1977-02,topic_1,0.273761879543428,11
1977-02,topic_2,0.045089423139656984,11
1977-02,topic_3,0.07461293912177029,11
1977-02,topic_4,0.17705237485315753,11
1977-02,topic_5,0.06321589627551984,11
1977-02,topic_6,0.23039003550864248,11
1977-05,topic_0,0.1333196163534698,8
1977-05,topic_1,0.09791473223905212,8
1977-05,topic_2,0.019805276522463097,8
1977-05,topic_3,0.1766549679425796,8
1977-05,topic_4,0.22620391984538207,8
1977-05,topic_5,0.3061832245003841,8
1977-05,topic_6,0.03991826259666913,8
1977-08,topic_0,0.19165752436162975,10
1977-08,topic_1,0.0659078042041982,10
1977-08,topic_2,0.12119907962434243,10
1977-08,topic_3,0.17873947517092695,10
1977-08,topic_4,0.13978119973580524,10
1977-08,topic_5,0.13628593070430872,10
1977-08,topic_6,0.16642898619878868,10
1977-11,topic_0,0.1372638785807886,7
1977-11,topic_1,0.18649608338983237,7
1977-11,topic_2,0.07376636205684836,7
1977-11,topic_3,0.262084234461958,7
1977-11,topic_4,0.16474559040355324,7
1977-11,topic_5,0.1502173369724954,7
1977-11,topic_6,0.025426514134524077,7
1978-02,topic_0,0.15040061379101496,8
1978-02,topic_1,0.23991244907330075,8
1978-02,topic_2,0.11991943259403572,8
1978-02,topic_3,0.08988959021319437,8
1978-02,topic_4,0.29801077766650264,8
1978-02,topic_5,0.09868463946816096,8
1978-02,topic_6,0.0031824971937907654,8
1978-05,topic_0,0.12591177832947145,8
1978-05,topic_1,0.07808455571450623,8
1978-05,topic_2,0.15310359444354749,8
1978-05,topic_3,0.06145162950553252,8
1978-05,topic_4,0.20675372285558694,8
1978-05,topic_5,0.23814103050912422,8
1978-05,topic_6,0.13655368864223108,8
1978-08,topic_0,0.09725922337952325,8
1978-08,topic_1,0.10457591384503322,8
1978-08,topic_2,0.1334003009089765,8
1978-08,topic_3,0.21983012430706353,8
1978-08,topic_4,0.16745857677058984,8
1978-08,topic_5,0.19688435333490611,8
1978-08,topic_6,0.08059150745390749,8
1978-11,topic_0,0.21728193103985965,7
1978-11,topic_1,0.12748713856167404,7
1978-11,topic_2,0.2922743986973703,7
1978-11,topic_3,0.0637850687434858,7
1978-11,topic_4,0.10139835805061514,7
1978-11,topic_5,0.10439191189090374,7
1978-11,topic_6,0.0933811930160915,7
1979-02,topic_0,0.19448091046343088,7
1979-02,topic_1,0.2862253815156467,7
1979-02,topic_2,0.012881884960582856,7
1979-02,topic_3,0.0665870889447217,7
1979-02,topic_4,0.08722049194483962,7
1979-02,topic_5,0.3364773861633214,7
1979-02,topic_6,0.01612685600745695,7
1979-05,topic_0,0.1001928649265721,8
1979-05,topic_1,0.21519837208937184,8
1979-05,topic_2,0.0857705733102156,8
1979-05,topic_3,0.07303058000586576,8
1979-05,topic_4,0.29312291605176505,8
1979-05,topic_5,0.18837869278150315,8
1979-05,topic_6,0.044306000834706545,8
1979-08,topic_0,0.1020845798516756,9
1979-08,topic_1,0.09872442762158815,9
1979-08,topic_2,0.07717691167355206,9
1979-08,topic_3,0.3249951799557236,9
1979-08,topic_4,0.1332743574445142,9
1979-08,topic_5,0.21136860083032022,9
1979-08,topic_6,0.05237594262262618,9
1979-11,topic_0,0.19219189949025842,13
1979-11,topic_1,0.041955141401484895,13
1979-11,topic_2,0.060573045953446605,13
1979-11,topic_3,0.29648021239830236,13
1979-11,topic_4,0.2513862787673037,13
1979-11,topic_5,0.07019606562178732,13
1979-11,topic_6,0.08721735636741654,13
1980-02,topic_0,0.295951297307841,15
1980-02,topic_1,0.08375288635750615,15
1980-02,topic_2,0.11787643723791412,15
1980-02,topic_3,0.08750337039710138,15
1980-02,topic_4,0.24108589201898908,15
1980-02,topic_5,0.12358220671413216,15
1980-02,topic_6,0.05024790996651603,15
1980-05,topic_0,0.12638533721313241,13
1980-05,topic_1,0.2862317805396999,13
1980-05,topic_2,0.14649931164404,13
1980-05,topic_3,0.11545654605249606,13
1980-05,topic_4,0.04041777178110523,13
1980-05,topic_5,0.1427674523537407,13
1980-05,topic_6,0.1422418004157857,13
1980-08,topic_0,0.07170699305443841,12
1980-08,topic_1,0.2081926607634164,12
1980-08,topic_2,0.04195286186549796,12
1980-08,topic_3,0.2223143845644948,12
1980-08,topic_4,0.21137928709007778,12
1980-08,topic_5,0.17557557105591137,12
1980-08,topic_6,0.06887824160616335,12
1980-11,topic_0,0.14258970875714325,13
1980-11,topic_1,0.0871018269193347,13
1980-11,topic_2,0.15977847711446838,13
1980-11,topic_3,0.1212068797677337,13
1980-11,topic_4,0.14082230367031787,13
1980-11,topic_5,0.11756671466974121,13
1980-11,topic_6,0.230934089101261,13
1981-02,topic_0,0.08434415965540477,14
1981-02,topic_1,0.03771629040364111,14
1981-02,topic_2,0.20649569932412457,14
1981-02,topic_3,0.2624300981635233,14
1981-02,topic_4,0.11242588226154655,14
1981-02,topic_5,0.23053771204967596,14
1981-02,topic_6,0.06605015814208351,14
1981-05,topic_0,0.07906966133222958,14
1981-05,topic_1,0.06854577683862824,14
1981-05,topic_2,0.2680130053930245,14
1981-05,topic_3,0.19016975571119765,14
1981-05,topic_4,0.1662917957469185,14
1981-05,topic_5,0.18243748973767462,14
1981-05,topic_6,0.04547251524032707,14
1981-08,topic_0,0.2201304253620638,14
