period,topic,prevalence,n_docs
2000-06,topic_0,0.11492688194681847,5
2000-06,topic_1,0.21878354211947282,5
2000-06,topic_2,0.27690343754467983,5
2000-06,topic_3,0.22110786891707404,5
2000-06,topic_4,0.16827826947195476,5
2000-07,topic_0,0.4685587759332828,5
2000-07,topic_1,0.1173511594108984,5
2000-07,topic_2,0.14013387598981872,5
2000-07,topic_3,0.22753500268823437,5
2000-07,topic_4,0.04642118597776579,5
2000-09,topic_0,0.08081814933979536,4
2000-09,topic_1,0.045594053143949625,4
2000-09,topic_2,0.4589100697359742,4
2000-09,topic_3,0.3509528083844789,4
2000-09,topic_4,0.06372491939580191,4
2000-12,topic_0,0.1670435106124256,4
2000-12,topic_1,0.09777212619210468,4
2000-12,topic_2,0.07264217820564743,4
2000-12,topic_3,0.40805854317848506,4
2000-12,topic_4,0.25448364181133726,4
2001-03,topic_0,0.21847928784621468,4
2001-03,topic_1,0.010360616705460618,4
2001-03,topic_2,0.3371929527510597,4
2001-03,topic_3,0.4233878333836908,4
2001-03,topic_4,0.010579309313574134,4
2001-06,topic_0,0.1830225009392404,4
2001-06,topic_1,0.08823370057600805,4
2001-06,topic_2,0.1608226898344764,4
2001-06,topic_3,0.41830858651939967,4
2001-06,topic_4,0.1496125221308754,4
2001-09,topic_0,0.34851946052205884,5
2001-09,topic_1,0.26637883665952067,5
2001-09,topic_2,0.08135156369875651,5
2001-09,topic_3,0.266188510422016,5
2001-09,topic_4,0.037561628697648036,5
2001-12,topic_0,0.023274195613281593,7
2001-12,topic_1,0.16267511491744585,7
2001-12,topic_2,0.18354021012804067,7
2001-12,topic_3,0.6305104793412319,7
2001-12,topic_4,0.0,7
2002-03,topic_0,0.34675765644681766,4
2002-03,topic_1,0.16575877580543633,4
2002-03,topic_2,0.14783543211872932,4
2002-03,topic_3,0.19228657516768527,4
2002-03,topic_4,0.14736156046133148,4
2002-06,topic_0,0.2232513472151366,6
2002-06,topic_1,0.13718781703354363,6
2002-06,topic_2,0.10917710125019965,6
2002-06,topic_3,0.22855422372494516,6
2002-06,topic_4,0.3018295107761749,6
2002-09,topic_0,0.7078231210210288,5
2002-09,topic_1,0.0421038497937671,5
2002-09,topic_2,0.006590781752426789,5
2002-09,topic_3,0.24348224743277733,5
2002-09,topic_4,0.0,5
2002-12,topic_0,0.21057455007166037,5
2002-12,topic_1,0.23141445003379874,5
2002-12,topic_2,0.2543077491029457,5
2002-12,topic_3,0.19898994867596154,5
2002-12,topic_4,0.10471330211563368,5
2003-06,topic_0,0.29138915986436786,4
2003-06,topic_1,0.5590402332489852,4
2003-06,topic_2,0.03693973119734639,4
2003-06,topic_3,0.03810617827894292,4
2003-06,topic_4,0.07452469741035753,4
2003-09,topic_0,0.12070458790488117,5
2003-09,topic_1,0.08329513109149925,5
2003-09,topic_2,0.2870208269818625,5
2003-09,topic_3,0.28100962743805696,5
2003-09,topic_4,0.2279698265837001,5
2003-12,topic_0,0.21466636041467543,5
2003-12,topic_1,0.057517776447846426,5
2003-12,topic_2,0.25889233933581846,5
2003-12,topic_3,0.3033808563048953,5
2003-12,topic_4,0.16554266749676444,5
2004-03,topic_0,0.279139442059059,5
2004-03,topic_1,0.016990948636826972,5
2004-03,topic_2,0.33465309822879574,5
2004-03,topic_3,0.029000869732315207,5
2004-03,topic_4,0.3402156413430031,5
2004-06,topic_0,0.1589970475461236,7
2004-06,topic_1,0.029450109559203172,7
2004-06,topic_2,0.22891664417166818,7
2004-06,topic_3,0.557380167012397,7
2004-06,topic_4,0.025256031710608,7
2004-09,topic_0,0.29505355958862334,6
2004-09,topic_1,0.3699472021495655,6
2004-09,topic_2,0.07901431499605845,6
2004-09,topic_3,0.14691150286899624,6
2004-09,topic_4,0.10907342039675653,6
2004-12,topic_0,0.22002027456111267,6
2004-12,topic_1,0.09892663493207232,6
2004-12,topic_2,0.11453486631508042,6
2004-12,topic_3,0.14528860817649858,6
2004-12,topic_4,0.42122961601523606,6
2005-03,topic_0,0.03291745852663351,7
2005-03,topic_1,0.01765904387788851,7
2005-03,topic_2,0.8227828670770773,7
2005-03,topic_3,0.10470817289033074,7
2005-03,topic_4,0.02193245762806988,7
2005-06,topic_0,0.35212158943467925,5
2005-06,topic_1,0.32400055945892553,5
2005-06,topic_2,0.05429869128926698,5
2005-06,topic_3,0.23320596138746838,5
2005-06,topic_4,0.036373198429659914,5
2005-09,topic_0,0.27443724900360317,4
2005-09,topic_1,0.43179449697064565,4
2005-09,topic_2,0.1163558294736167,4
2005-09,topic_3,0.05853932952498087,4
2005-09,topic_4,0.1188730950271536,4
2005-12,topic_0,0.139758510907383,4
2005-12,topic_1,0.2689259543409906,4
2005-12,topic_2,0.08679045083378635,4
2005-12,topic_3,0.3599581924388618,4
2005-12,topic_4,0.14456689147897844,4
2006-03,topic_0,0.30792991117544066,5
2006-03,topic_1,0.15528359346702023,5
2006-03,topic_2,0.13267225005617314,5
2006-03,topic_3,0.21834076336121472,5
2006-03,topic_4,0.1857734819401513,5
2006-06,topic_0,0.30600859778773404,5
2006-06,topic_1,0.08261989315999184,5
2006-06,topic_2,0.2570985033701908,5
2006-06,topic_3,0.2769578823607218,5
2006-06,topic_4,0.07731512332136155,5
2006-09,topic_0,0.1066006280148659,9
2006-09,topic_1,0.11672332439026224,9
2006-09,topic_2,0.3002518149315714,9
2006-09,topic_3,0.31464015426513364,9
2006-09,topic_4,0.16178407839816678,9
2006-12,topic_0,0.1264867538536397,6
2006-12,topic_1,0.27350280428501705,6
2006-12,topic_2,0.08312545589524338,6
2006-12,topic_3,0.13728096949343951,6
2006-12,topic_4,0.3796040164726604,6
2007-03,topic_0,0.15061327493478205,4
2007-03,topic_1,0.0011738993629874636,4
2007-03,topic_2,0.2651910754654318,4
2007-03,topic_3,0.13699859167813855,4
2007-03,topic_4,0.4460231585586601,4
2007-06,topic_0,0.3052940397867366,4
2007-06,topic_1,0.2825162305879585,4
2007-06,topic_2,0.30132732926273326,4
2007-06,topic_3,0.09381250958650698,4
2007-06,topic_4,0.01704989077606486,4
2007-09,topic_0,0.3407376024618949,5
2007-09,topic_1,0.4523628200080281,5
2007-09,topic_2,0.05133739438939942,5
2007-09,topic_3,0.11029832805074295,5
2007-09,topic_4,0.04526385508993464,5
2007-12,topic_0,0.1534933003182094,4
2007-12,topic_1,0.5028654708336623,4
2007-12,topic_2,0.24514310391471528,4
2007-12,topic_3,0.09849812493341298,4
2007-12,topic_4,0.0,4
2008-03,topic_0,0.3757576037675947,4
2008-03,topic_1,0.04997454694663397,4
2008-03,topic_2,0.4200871733932824,4
2008-03,topic_3,0.12581596353142757,4
2008-03,topic_4,0.028364712361061313,4
2008-06,topic_0,0.2560829872096299,6
2008-06,topic_1,0.12923129413595896,6
2008-06,topic_2,0.15753543256241284,6
2008-06,topic_3,0.35133526667432285,6
2008-06,topic_4,0.10581501941767546,6
2008-09,topic_0,0.1527498288963166,5
2008-09,topic_1,0.23220469319133732,5
2008-09,topic_2,0.16504195957869613,5
2008-09,topic_3,0.19767653259456308,5
2008-09,topic_4,0.2523269857390868,5
2008-12,topic_0,0.08962007161109843,5
2008-12,topic_1,0.16348645063753559,5
2008-12,topic_2,0.1515916519891579,5
2008-12,topic_3,0.546536182680429,5
2008-12,topic_4,0.04876564308177905,5
2009-03,topic_0,0.2415958342259167,7
2009-03,topic_1,0.13760673214258812,7
2009-03,topic_2,0.27963725996987177,7
2009-03,topic_3,0.2484892271326513,7
2009-03,topic_4,0.09267094652897209,7
2009-06,topic_0,0.2790477642980705,12
2009-06,topic_1,0.1508144063758799,12
2009-06,topic_2,0.09231198379887401,12
2009-06,topic_3,0.328912320266549,12
2009-06,topic_4,0.14891352526062665,12
2009-09,topic_0,0.2670883569313566,7
2009-09,topic_1,0.3094808985127463,7
2009-09,topic_2,0.07277203418291579,7
2009-09,topic_3,0.1707457966858223,7
2009-09,topic_4,0.17991291368715912,7
2009-12,topic_0,0.20221199908629875,8
2009-12,topic_1,0.08915398056125891,8
2009-12,topic_2,0.17574206578727344,8
2009-12,topic_3,0.23023687024727338,8
2009-12,topic_4,0.3026550843178955,8
2010-02,topic_0,0.13108965930322558,8
2010-02,topic_1,0.12614976877745235,8
2010-02,topic_2,0.33856259703066954,8
2010-02,topic_3,0.1502796941652377,8
2010-02,topic_4,0.2539182807234149,8
2010-06,topic_0,0.26995777251855557,7
2010-06,topic_1,0.3823697279207074,7
2010-06,topic_2,0.09471431219431303,7
2010-06,topic_3,0.19347123688965842,7
2010-06,topic_4,0.05948695047676561,7
2010-09,topic_0,0.1942684948293879,7
2010-09,topic_1,0.3125390142829305,7
2010-09,topic_2,0.21949532978324307,7
2010-09,topic_3,0.15651379008172725,7
2010-09,topic_4,0.11718337102271134,7
2010-12,topic_0,0.16790064312760214,7
2010-12,topic_1,0.06233964134959275,7
2010-12,topic_2,0.2771970772513508,7
2010-12,topic_3,0.34260070020200784,7
2010-12,topic_4,0.14996193806944644,7
2011-03,topic_0,0.14199446489422957,14
2011-03,topic_1,0.3299177590447122,14
2011-03,topic_2,0.31834561190109695,14
2011-03,topic_3,0.11963519670712403,14
2011-03,topic_4,0.09010696745283721,14
2011-09,topic_0,0.22544600721140232,9
2011-09,topic_1,0.15549059705301418,9
2011-09,topic_2,0.176442251811843,9
2011-09,topic_3,0.206016497983443,9
2011-09,topic_4,0.23660464594029762,9
2011-12,topic_0,0.10730937773537755,11
2011-12,topic_1,0.2299973818609868,11
2011-12,topic_2,0.1856849793056235,11
2011-12,topic_3,0.1901285603707316,11
2011-12,topic_4,0.2868797007272805,11
2012-03,topic_0,0.12253350263037383,7
2012-03,topic_1,0.21516594357330504,7
2012-03,topic_2,0.23283857685607298,7
2012-03,topic_3,0.16854461808762644,7
2012-03,topic_4,0.2609173588526215,7
