period,topic,prevalence,n_docs
2000,topic_0,0.23286283715992634,18
2000,topic_1,0.11973301171703506,18
2000,topic_2,0.2283010016095658,18
2000,topic_3,0.29448436328917277,18
2000,topic_4,0.1246187862243,18
2001,topic_0,0.16238101484162315,20
2001,topic_1,0.138844357481575,20
2001,topic_2,0.19185075193057707,20
2001,topic_3,0.4717118165470999,20
2001,topic_4,0.03521205919912484,20
2002,topic_0,0.34362144130617034,20
2002,topic_1,0.14992784357327152,20
2002,topic_2,0.13683151676492306,20
2002,topic_3,0.21620430240232125,20
2002,topic_4,0.1534148959533139,20
2003,topic_0,0.20741110537197013,14
2003,topic_1,0.22128403152265697,14
2003,topic_2,0.19946314350213418,14
2003,topic_3,0.2138755064051301,14
2003,topic_4,0.15796621319810866,14
2004,topic_0,0.23092435766479327,24
2004,topic_1,0.1151480841887065,24
2004,topic_2,0.1939108797500231,24
2004,topic_3,0.24467283193935138,24
2004,topic_4,0.21534384645712576,24
2005,topic_0,0.1741453508319299,20
2005,topic_1,0.20646191103479636,20
2005,topic_2,0.37707788296862926,20
2005,topic_3,0.18011937858556198,20
2005,topic_4,0.06219547657908256,20
2006,topic_0,0.1902403555358523,25
2006,topic_1,0.15644895431822228,25
2006,topic_2,0.20543179889738547,25
2006,topic_3,0.24408380829207502,25
2006,topic_4,0.2037950829564649,25
2007,topic_0,0.24080939017155384,17
2007,topic_1,0.29868298524927633,17
2007,topic_2,0.20656478427535932,17
2007,topic_3,0.11172233005169721,17
2007,topic_4,0.1422205102521134,17
2008,topic_0,0.20064038146910146,20
2008,topic_1,0.1520528902253496,20
2008,topic_2,0.20150457188672993,20
2008,topic_3,0.3330490436097936,20
2008,topic_4,0.11275311280902545,20
2009,topic_0,0.24848629115413956,34
2009,topic_1,0.16313415147330548,34
2009,topic_2,0.15637766988387147,34
2009,topic_3,0.2538231587489533,34
2009,topic_4,0.17817872873973026,34
2010,topic_0,0.1876185877757381,29
2010,topic_1,0.21027484017513368,29
2010,topic_2,0.2384002578923511,29
2010,topic_3,0.21362795263633927,29
2010,topic_4,0.15007836152043785,29
2011,topic_0,0.15740065552510668,34
2011,topic_1,0.24667818921085596,34
2011,topic_2,0.23542025019164495,34
2011,topic_3,0.1670770502154135,34
2011,topic_4,0.19342385485697894,34
2012,topic_0,0.24821782911311843,32
2012,topic_1,0.2902827085119869,32
2012,topic_2,0.1691971591028563,32
2012,topic_3,0.10732932520687744,32
2012,topic_4,0.18497297806516086,32
2013,topic_0,0.2137383391915863,28
2013,topic_1,0.14854596910680898,28
2013,topic_2,0.2328658716788432,28
2013,topic_3,0.2136400863416881,28
2013,topic_4,0.1912097336810735,28
2014,topic_0,0.1569167063013189,42
2014,topic_1,0.24025323756227102,42
2014,topic_2,0.21186162729620386,42
2014,topic_3,0.1715749340804361,42
2014,topic_4,0.21939349475976996,42
2015,topic_0,0.17500933943131122,31
2015,topic_1,0.1562487215484219,31
2015,topic_2,0.18324806602348517,31
2015,topic_3,0.23471155358525528,31
2015,topic_4,0.2507823194115264,31
2016,topic_0,0.15270023927385584,39
2016,topic_1,0.12751222376237506,39
2016,topic_2,0.15718150889423574,39
2016,topic_3,0.3642328624000373,39
2016,topic_4,0.19837316566949598,39
2017,topic_0,0.1665865050827386,35
2017,topic_1,0.47532538123308915,35
2017,topic_2,0.09537998913111548,35
2017,topic_3,0.15152064288631464,35
2017,topic_4,0.1111874816667421,35
2018,topic_0,0.18951488230339988,36
2018,topic_1,0.19066070669325316,36
2018,topic_2,0.18855579395543687,36
2018,topic_3,0.1561400992083892,36
2018,topic_4,0.27512851783952097,36
2019,topic_0,0.1886587881836081,10
2019,topic_1,0.23474367038383226,10
2019,topic_2,0.20070127112011193,10
2019,topic_3,0.27295276236772964,10
2019,topic_4,0.1029435079447181,10
