period,topic,prevalence,n_docs
2007-01,topic_0,0.3110433197392429,10
2007-01,topic_1,0.36797123930494124,10
2007-01,topic_2,0.18621809541124182,10
2007-01,topic_3,0.08141645923662831,10
2007-01,topic_4,0.053350886307945655,10
2007-03,topic_0,0.08527673798656986,9
2007-03,topic_1,0.39083603352933677,9
2007-03,topic_2,0.3357455128672442,9
2007-03,topic_3,0.16332027415441902,9
2007-03,topic_4,0.024821441462430253,9
2007-06,topic_0,0.35328591481716387,8
2007-06,topic_1,0.2857368977905519,8
2007-06,topic_2,0.22800112178454635,8
2007-06,topic_3,0.10814741850933238,8
2007-06,topic_4,0.024828647098405505,8
2007-09,topic_0,0.3608704282686136,9
2007-09,topic_1,0.27827898589942274,9
2007-09,topic_2,0.2148918585588996,9
2007-09,topic_3,0.07087413683022234,9
2007-09,topic_4,0.07508459044284163,9
2008-01,topic_0,0.2566198602969543,10
2008-01,topic_1,0.23916757699809563,10
2008-01,topic_2,0.0796055543276532,10
2008-01,topic_3,0.23122744601596884,10
2008-01,topic_4,0.193379562361328,10
2008-03,topic_0,0.3560044196095324,9
2008-03,topic_1,0.4308718570469535,9
2008-03,topic_2,0.18012660483613202,9
2008-03,topic_3,0.01633605611248004,9
2008-03,topic_4,0.016661062394901928,9
2008-06,topic_0,0.21068712363008804,14
2008-06,topic_1,0.4223787351851284,14
2008-06,topic_2,0.1880380599773558,14
2008-06,topic_3,0.14872880971474348,14
2008-06,topic_4,0.03016727149268422,14
2008-08,topic_0,0.17983581711427943,13
2008-08,topic_1,0.2882805290236903,13
2008-08,topic_2,0.29707085397635746,13
2008-08,topic_3,0.16925321577227212,13
2008-08,topic_4,0.06555958411340083,13
2009-01,topic_0,0.14972267945722495,13
2009-01,topic_1,0.33654035363761947,13
2009-01,topic_2,0.38096341004846124,13
2009-01,topic_3,0.08530879029893372,13
2009-01,topic_4,0.04746476655776061,13
2009-03,topic_0,0.14424292255608268,12
2009-03,topic_1,0.4897560309755105,12
2009-03,topic_2,0.13036009246303207,12
2009-03,topic_3,0.10991578183814574,12
2009-03,topic_4,0.125725172167229,12
2009-07,topic_0,0.18687070271103498,15
2009-07,topic_1,0.26765086165282637,15
2009-07,topic_2,0.23583973031870079,15
2009-07,topic_3,0.29959562115427,15
