period,topic,prevalence,n_docs
2007,topic_0,0.26594235879511885,36
2007,topic_1,0.33605429412290794,36
2007,topic_2,0.24550492835292917,36
2007,topic_3,0.10870082487638355,36
2007,topic_4,0.043797593852660466,36
2008,topic_0,0.24020390911850345,46
2008,topic_1,0.33852438197968643,46
2008,topic_2,0.1924841537810763,46
2008,topic_3,0.1502600527424144,46
2008,topic_4,0.07852750237831944,46
2009,topic_0,0.17248955816210632,53
2009,topic_1,0.34761335564350415,53
2009,topic_2,0.24605174135295538,53
2009,topic_3,0.1715850674011675,53
2009,topic_4,0.06226027744026678,53
2010,topic_0,0.28042006877888725,51
2010,topic_1,0.25939231128557605,51
2010,topic_2,0.13775123114407356,51
2010,topic_3,0.21579466700756478,51
2010,topic_4,0.10664172178389833,51
2011,topic_0,0.24605415038146208,56
2011,topic_1,0.22087496839631965,56
2011,topic_2,0.1810575708503566,56
2011,topic_3,0.23367943400922442,56
2011,topic_4,0.11833387636263731,56
2012,topic_0,0.22509696706129986,135
2012,topic_1,0.25797502281858137,135
2012,topic_2,0.22673506930793852,135
2012,topic_3,0.17627966826480024,135
2012,topic_4,0.11391327254738,135
2013,topic_0,0.21889523049203413,134
2013,topic_1,0.21324092688054969,134
2013,topic_2,0.19890964159864202,134
2013,topic_3,0.22883586557807026,134
2013,topic_4,0.1401183354507038,134
2014,topic_0,0.18778014402196797,136
2014,topic_1,0.21158703585631494,136
2014,topic_2,0.16042993023606358,136
2014,topic_3,0.2408199662086387,136
2014,topic_4,0.1993829236770149,136
2015,topic_0,0.2566969320274885,114
2015,topic_1,0.24997293752931393,114
2015,topic_2,0.2518785793069518,114
2015,topic_3,0.12766092400906837,114
2015,topic_4,0.11379062712717737,114
2016,topic_0,0.267161573034461,119
2016,topic_1,0.26007238401937144,119
2016,topic_2,0.23129666679121413,119
2016,topic_3,0.13307238888676473,119
2016,topic_4,0.10839698726818867,119
2017,topic_0,0.3000482736129619,120
2017,topic_1,0.20282895487234237,120
2017,topic_2,0.2605854821302852,120
2017,topic_3,0.10811761080537714,120
2017,topic_4,0.1284196785790334,120
2018,topic_0,0.20463372640289348,131
2018,topic_1,0.25126951630677896,131
2018,topic_2,0.25870567687062,131
2018,topic_3,0.16736829874406445,131
2018,topic_4,0.11802278167564323,131
2019,topic_0,0.1753938786414186,32
2019,topic_1,0.4140518476594426,32
2019,topic_2,0.20432245130952226,32
2019,topic_3,0.14955167333890831,32
2019,topic_4,0.0566801490507084,32
