period,topic,prevalence,n_docs
1992,topic_0,0.2241875831206971,24
1992,topic_1,0.09037928296168461,24
1992,topic_2,0.06808786138954966,24
1992,topic_3,0.2189616167773827,24
1992,topic_4,0.39838365575068596,24
1993,topic_0,0.15015443949552104,18
1993,topic_1,0.16891854666779954,18
1993,topic_2,0.07162124523053923,18
1993,topic_3,0.18203026989216314,18
1993,topic_4,0.42727549871397696,18
1994,topic_0,0.2636814565513302,40
1994,topic_1,0.12404046414364749,40
1994,topic_2,0.1024595156401027,40
1994,topic_3,0.23856507214449588,40
1994,topic_4,0.2712534915204238,40
1995,topic_0,0.22819687105242745,19
1995,topic_1,0.13455978661397536,19
1995,topic_2,0.05367416992458376,19
1995,topic_3,0.16241838621334617,19
1995,topic_4,0.42115078619566737,19
1996,topic_0,0.32941311706349585,15
1996,topic_1,0.04163830304884238,15
1996,topic_2,0.07017325638865343,15
1996,topic_3,0.20060360394913487,15
1996,topic_4,0.35817171954987354,15
1997,topic_0,0.22261420270021018,14
1997,topic_1,0.07991570864234349,14
1997,topic_2,0.18541634172409446,14
1997,topic_3,0.26677317288135227,14
1997,topic_4,0.2452805740519996,14
1998,topic_0,0.26262540540498136,31
1998,topic_1,0.07238612085445144,31
1998,topic_2,0.20768751726097,31
1998,topic_3,0.14450775425363369,31
1998,topic_4,0.31279320222596346,31
1999,topic_0,0.3059530128841892,60
1999,topic_1,0.11716230399071498,60
1999,topic_2,0.11965858092514443,60
1999,topic_3,0.27383994854868754,60
1999,topic_4,0.1833861536512638,60
2000,topic_0,0.18458613279823,16
2000,topic_1,0.1551996786574238,16
2000,topic_2,0.08320039916395369,16
2000,topic_3,0.3040218758196377,16
2000,topic_4,0.27299191356075486,16
2001,topic_0,0.3081996698545958,38
2001,topic_1,0.09212549004110948,38
2001,topic_2,0.17237623873670854,38
2001,topic_3,0.18522746287569192,38
2001,topic_4,0.2420711384918942,38
2002,topic_0,0.2359121082914815,44
2002,topic_1,0.1324875579292641,44
2002,topic_2,0.11816613661025897,44
2002,topic_3,0.24398189245361865,44
2002,topic_4,0.26945230471537673,44
2003,topic_0,0.22130626188547592,44
2003,topic_1,0.15531935936712296,44
2003,topic_2,0.19360371209009222,44
2003,topic_3,0.2536834694769768,44
2003,topic_4,0.17608719718033217,44
2004,topic_0,0.17380004028204527,43
2004,topic_1,0.11941766829592577,43
2004,topic_2,0.23906023362427115,43
2004,topic_3,0.1959565712074856,43
2004,topic_4,0.2717654865902722,43
2005,topic_0,0.20998972713084807,45
2005,topic_1,0.13178169063337453,45
2005,topic_2,0.0793078435772279,45
2005,topic_3,0.28708621785005756,45
2005,topic_4,0.291834520808492,45
2006,topic_0,0.24645414911377153,57
2006,topic_1,0.07684195189702883,57
2006,topic_2,0.25123959187435785,57
2006,topic_3,0.23151364100323057,57
2006,topic_4,0.19395066611161124,57
2007,topic_0,0.16517416568099577,56
2007,topic_1,0.2195894324539536,56
2007,topic_2,0.17994623234519275,56
2007,topic_3,0.22832655055444148,56
2007,topic_4,0.2069636189654165,56
2008,topic_0,0.2764763628618266,55
2008,topic_1,0.1471961670978645,55
2008,topic_2,0.10950459372402795,55
2008,topic_3,0.25628197397937,55
2008,topic_4,0.21054090233691097,55
2009,topic_0,0.253555652248382,52
2009,topic_1,0.18571528448248495,52
2009,topic_2,0.10208924787112247,52
2009,topic_3,0.3028524498658818,52
2009,topic_4,0.15578736553212885,52
2010,topic_0,0.18724051149049828,47
2010,topic_1,0.12983391491411386,47
2010,topic_2,0.13433968603149052,47
2010,topic_3,0.2790024575991162,47
2010,topic_4,0.26958342996478113,47
2011,topic_0,0.17851981693612884,48
2011,topic_1,0.09618788063732668,48
2011,topic_2,0.2720819654797962,48
2011,topic_3,0.2572128393085336,48
2011,topic_4,0.19599749763821472,48
2012,topic_0,0.2138669941199784,58
2012,topic_1,0.09954206833060615,58
2012,topic_2,0.10420247178961027,58
2012,topic_3,0.35532107196492246,58
2012,topic_4,0.22706739379488272,58
2013,topic_0,0.24204782758539362,68
2013,topic_1,0.18627097762905764,68
2013,topic_2,0.12534341228829235,68
2013,topic_3,0.22871364658950616,68
2013,topic_4,0.21762413590775032,68
2014,topic_0,0.17279090131260705,71
2014,topic_1,0.17985944508382304,71
2014,topic_2,0.16564771477499468,71
2014,topic_3,0.21247482705333195,71
2014,topic_4,0.2692271117752432,71
2015,topic_0,0.1797937341793621,61
2015,topic_1,0.16665590040204276,61
2015,topic_2,0.1477192880314991,61
2015,topic_3,0.2367238777589611,61
2015,topic_4,0.2691071996281349,61
2016,topic_0,0.234825400285667,65
2016,topic_1,0.16160334008713825,65
2016,topic_2,0.11193513568600064,65
2016,topic_3,0.25449439797672646,65
2016,topic_4,0.23714172596446764,65
2017,topic_0,0.19325244487022933,60
2017,topic_1,0.24210202221884308,60
2017,topic_2,0.17255967791135865,60
2017,topic_3,0.22213986008198988,60
2017,topic_4,0.16994599491757903,60
2018,topic_0,0.1439700895963896,63
2018,topic_1,0.10006806964139436,63
2018,topic_2,0.1463047800631268,63
2018,topic_3,0.4685945901556272,63
2018,topic_4,0.1410624705434621,63
2019,topic_0,0.2567362077673171,21
2019,topic_1,0.221623732283539,21
2019,topic_2,0.08127760644655589,21
2019,topic_3,0.21585921664386468,21
2019,topic_4,0.2245032368587234,21
