period,topic,prevalence,n_docs
1977,topic_0,0.09362910895968295,51
1977,topic_1,0.00784917840067715,51
1977,topic_2,0.12693410391762502,51
1977,topic_3,0.24791947777033632,51
1977,topic_4,0.10554431541061679,51
1977,topic_5,0.0419570148251051,51
1977,topic_6,0.16000534238975356,51
1977,topic_7,0.2161614583262031,51
1978,topic_0,0.06271051933219174,75
1978,topic_1,0.04313415171332534,75
1978,topic_2,0.10827215101738502,75
1978,topic_3,0.2190450890046239,75
1978,topic_4,0.2572602952389641,75
1978,topic_5,0.07228689277394516,75
1978,topic_6,0.12989189149097233,75
1978,topic_7,0.10739900942859237,75
1979,topic_0,0.07682684429981677,81
1979,topic_1,0.028541336911642054,81
1979,topic_2,0.0834075282712501,81
1979,topic_3,0.21174111800912046,81
1979,topic_4,0.2924338245549676,81
1979,topic_5,0.04059789172268301,81
1979,topic_6,0.15193997541093615,81
1979,topic_7,0.11451148081958397,81
1980,topic_0,0.07322941568580199,71
1980,topic_1,0.040845760722719796,71
1980,topic_2,0.10530866126151622,71
1980,topic_3,0.16355758450685579,71
1980,topic_4,0.27700333512486597,71
1980,topic_5,0.04631286956422165,71
1980,topic_6,0.13978657952039522,71
1980,topic_7,0.15395579361362355,71
1981,topic_0,0.075444985949064,55
1981,topic_1,0.016779686050353338,55
1981,topic_2,0.096730445631757,55
1981,topic_3,0.3051650634160698,55
1981,topic_4,0.12040982960145358,55
1981,topic_5,0.06683187921259667,55
1981,topic_6,0.13773006511547317,55
1981,topic_7,0.1809080450232325,55
1982,topic_0,0.050248787354186496,64
1982,topic_1,0.058975976297347216,64
1982,topic_2,0.13203735978898462,64
1982,topic_3,0.13899571681061115,64
1982,topic_4,0.3024039871801244,64
1982,topic_5,0.04389595536789527,64
1982,topic_6,0.10930410034024339,64
1982,topic_7,0.16413811686060736,64
1983,topic_0,0.06327396425792665,69
1983,topic_1,0.054194198225417545,69
1983,topic_2,0.07942039983853656,69
1983,topic_3,0.17275383080130002,69
1983,topic_4,0.28357246536138453,69
1983,topic_5,0.05063568329901833,69
1983,topic_6,0.12702865920545484,69
1983,topic_7,0.1691207990109615,69
1984,topic_0,0.09882248308996013,66
1984,topic_1,0.048847466601476354,66
1984,topic_2,0.129355216838664,66
1984,topic_3,0.13958167120531909,66
1984,topic_4,0.31793357799356825,66
1984,topic_5,0.05711960593241025,66
1984,topic_6,0.06230640643435525,66
1984,topic_7,0.14603357190424676,66
1985,topic_0,0.07189185526142948,110
1985,topic_1,0.16910453788272772,110
1985,topic_2,0.07303715801607143,110
1985,topic_3,0.18094356492259384,110
1985,topic_4,0.19218762321638055,110
1985,topic_5,0.06548588172568877,110
1985,topic_6,0.11343501548775926,110
1985,topic_7,0.13391436348734898,110
1986,topic_0,0.05235653869326254,103
1986,topic_1,0.2225734727798201,103
1986,topic_2,0.12078292760231521,103
1986,topic_3,0.13857596703164,103
1986,topic_4,0.21374464960477707,103
1986,topic_5,0.03300332989547713,103
1986,topic_6,0.09619136895383465,103
1986,topic_7,0.12277174543887322,103
1987,topic_0,0.0621109377705881,96
1987,topic_1,0.2344094630693664,96
1987,topic_2,0.11682325071588456,96
1987,topic_3,0.1401682318330436,96
1987,topic_4,0.1670750171143049,96
1987,topic_5,0.03394567620164448,96
1987,topic_6,0.10745501518928591,96
1987,topic_7,0.1380124081058819,96
1988,topic_0,0.08481257385550897,89
1988,topic_1,0.19596622331129804,89
1988,topic_2,0.09851258751400034,89
1988,topic_3,0.12602611329072363,89
1988,topic_4,0.12057832035792894,89
1988,topic_5,0.06429321776938014,89
1988,topic_6,0.12420236644255793,89
1988,topic_7,0.18560859745860211,89
1989,topic_0,0.0897418412834269,103
1989,topic_1,0.2652024059616824,103
1989,topic_2,0.0760403801003883,103
1989,topic_3,0.14961745114761688,103
1989,topic_4,0.13165941628422695,103
1989,topic_5,0.058230673310027126,103
1989,topic_6,0.10516203981180712,103
1989,topic_7,0.12434579210082437,103
1990,topic_0,0.05769312785636574,117
1990,topic_1,0.30905529709959983,117
1990,topic_2,0.11448774624433247,117
1990,topic_3,0.11931308941385081,117
1990,topic_4,0.12872985618168753,117
1990,topic_5,0.04266818351643237,117
1990,topic_6,0.11523585705038741,117
1990,topic_7,0.11281684263734394,117
1991,topic_0,0.08638715870429992,92
1991,topic_1,0.30442337045920825,92
1991,topic_2,0.10929405324245503,92
1991,topic_3,0.11988055864421872,92
1991,topic_4,0.0852149229574788,92
1991,topic_5,0.04944913090434304,92
1991,topic_6,0.12766660890287773,92
1991,topic_7,0.11768419618511859,92
1992,topic_0,0.11170100850420928,114
1992,topic_1,0.061146499701913826,114
1992,topic_2,0.17551270939925442,114
1992,topic_3,0.1721695054384582,114
1992,topic_4,0.04738967224945699,114
1992,topic_5,0.07617201495985908,114
1992,topic_6,0.17178246714447462,114
1992,topic_7,0.18412612260237368,114
1993,topic_0,0.11090910766396969,28
1993,topic_1,0.15468964363725074,28
1993,topic_2,0.08221752021461874,28
1993,topic_3,0.1867358681421667,28
1993,topic_4,0.03805657241279108,28
1993,topic_5,0.09183980568516746,28
1993,topic_6,0.13941692704423608,28
1993,topic_7,0.19613455519979936,28
1994,topic_0,0.12288658767224685,117
1994,topic_1,0.11700617480025068,117
1994,topic_2,0.11010481184754727,117
1994,topic_3,0.14985229884885448,117
1994,topic_4,0.024845284029848938,117
1994,topic_5,0.08482639247948456,117
1994,topic_6,0.19196524083700678,117
1994,topic_7,0.19851320948476053,117
1995,topic_0,0.11319852381750774,112
1995,topic_1,0.11103797119080921,112
1995,topic_2,0.15066085401650703,112
1995,topic_3,0.16772645554920318,112
1995,topic_4,0.02381064041736397,112
1995,topic_5,0.07050909425860497,112
1995,topic_6,0.16756959992407225,112
1995,topic_7,0.19548686082593156,112
1996,topic_0,0.13478045434199593,94
1996,topic_1,0.1576018579569964,94
1996,topic_2,0.11404653549516224,94
1996,topic_3,0.11141156753509204,94
1996,topic_4,0.026664157595761667,94
1996,topic_5,0.11357656282078717,94
1996,topic_6,0.18437649666084793,94
1996,topic_7,0.1575423675933567,94
1997,topic_0,0.1851432040146867,87
1997,topic_1,0.07121428611899042,87
1997,topic_2,0.0973824843924455,87
1997,topic_3,0.15919258316818266,87
1997,topic_4,0.02165941937953327,87
1997,topic_5,0.1072461146120144,87
1997,topic_6,0.15855891007135003,87
1997,topic_7,0.199602998242797,87
1998,topic_0,0.15179277985985404,44
1998,topic_1,0.06256535393895665,44
1998,topic_2,0.12954537875184036,44
1998,topic_3,0.16441258650505253,44
