period,topic,prevalence,n_docs
1991,topic_0,0.28024566973901044,38
1991,topic_1,0.06882985118447871,38
1991,topic_2,0.36728817440153927,38
1991,topic_3,0.05098231295546267,38
1991,topic_4,0.12103812182985636,38
1991,topic_5,0.11161586988965266,38
1992,topic_0,0.18664576117016277,32
1992,topic_1,0.19381344876498915,32
1992,topic_2,0.2945132304558718,32
1992,topic_3,0.02560048450023179,32
1992,topic_4,0.1452525788323945,32
1992,topic_5,0.1541744962763502,32
1993,topic_0,0.22616608234905922,47
1993,topic_1,0.13206102182744894,47
1993,topic_2,0.299581133696701,47
1993,topic_3,0.07603543315398069,47
1993,topic_4,0.10997071355001432,47
1993,topic_5,0.15618561542279596,47
1994,topic_0,0.18953141900656711,51
1994,topic_1,0.1416137376528523,51
1994,topic_2,0.2701934439112306,51
1994,topic_3,0.11921949533789303,51
1994,topic_4,0.13152652815211258,51
1994,topic_5,0.14791537593934428,51
1995,topic_0,0.18666331482623144,43
1995,topic_1,0.14993784930877882,43
1995,topic_2,0.2915966463072386,43
1995,topic_3,0.05503917025779184,43
1995,topic_4,0.14159911085937868,43
1995,topic_5,0.1751639084405807,43
1996,topic_0,0.21073165369444607,61
1996,topic_1,0.17913408709905634,61
1996,topic_2,0.22495528818688706,61
1996,topic_3,0.07543190672269251,61
1996,topic_4,0.1387093009230525,61
1996,topic_5,0.1710377633738655,61
1997,topic_0,0.2185809619588236,62
1997,topic_1,0.170048900312945,62
1997,topic_2,0.27633511981396425,62
1997,topic_3,0.02769780410017748,62
1997,topic_4,0.14285722334058218,62
1997,topic_5,0.1644799904735076,62
1998,topic_0,0.1832063413151281,73
1998,topic_1,0.15297535522724787,73
1998,topic_2,0.2707838713433968,73
1998,topic_3,0.060251874059395985,73
1998,topic_4,0.14730684070955585,73
1998,topic_5,0.18547571734527538,73
1999,topic_0,0.2503706296501752,51
1999,topic_1,0.1810719708877443,51
1999,topic_2,0.2294527073747412,51
1999,topic_3,0.05535471636685686,51
1999,topic_4,0.1348513809721191,51
1999,topic_5,0.14889859474836328,51
2000,topic_0,0.15738286842472402,78
2000,topic_1,0.22254760128570225,78
2000,topic_2,0.1732455407082001,78
2000,topic_3,0.09212012992263749,78
2000,topic_4,0.14513182684715684,78
2000,topic_5,0.2095720328115793,78
2001,topic_0,0.19930887176795997,40
2001,topic_1,0.1844802505445869,40
2001,topic_2,0.21943619615633528,40
2001,topic_3,0.051744585620166136,40
2001,topic_4,0.16854315638369677,40
2001,topic_5,0.176486939527255,40
2002,topic_0,0.17060335673262889,91
2002,topic_1,0.2067263432869526,91
2002,topic_2,0.18960028179741165,91
2002,topic_3,0.0773419890848642,91
2002,topic_4,0.18089007064412987,91
2002,topic_5,0.17483795845401276,91
2003,topic_0,0.17016253036784898,44
2003,topic_1,0.22739340431596947,44
2003,topic_2,0.19721059898478263,44
2003,topic_3,0.10137770652662847,44
2003,topic_4,0.15470238191303123,44
2003,topic_5,0.1491533778917391,44
2004,topic_0,0.18524946963329236,46
2004,topic_1,0.17982270597201422,46
2004,topic_2,0.1651517141195291,46
2004,topic_3,0.0943544040820529,46
2004,topic_4,0.21275827566921934,46
2004,topic_5,0.16266343052389198,46
2005,topic_0,0.16598985922311335,79
2005,topic_1,0.2203998503826407,79
2005,topic_2,0.19206680364111672,79
2005,topic_3,0.06638701219947171,79
2005,topic_4,0.1658897350057515,79
2005,topic_5,0.18926673954790602,79
2006,topic_0,0.14117760285984043,71
2006,topic_1,0.21567150323536113,71
2006,topic_2,0.18863497066648496,71
2006,topic_3,0.10391783635393019,71
2006,topic_4,0.1345411664630577,71
2006,topic_5,0.21605692042132557,71
2007,topic_0,0.10572356740750825,49
2007,topic_1,0.21817021046597665,49
2007,topic_2,0.12501629241291132,49
2007,topic_3,0.09497609666744833,49
2007,topic_4,0.22305723673395508,49
2007,topic_5,0.23305659631220038,49
2008,topic_0,0.14298470045384828,91
2008,topic_1,0.17399882688528132,91
2008,topic_2,0.159620470106588,91
2008,topic_3,0.1276122172686916,91
2008,topic_4,0.19432943609711364,91
2008,topic_5,0.20145434918847713,91
2009,topic_0,0.1430118135811185,73
2009,topic_1,0.18296373063437177,73
2009,topic_2,0.13186254029193523,73
2009,topic_3,0.10051872469393866,73
2009,topic_4,0.2067481891956224,73
2009,topic_5,0.2348950016030134,73
2010,topic_0,0.1585921025555766,109
2010,topic_1,0.21481283610217916,109
2010,topic_2,0.14376175538727787,109
2010,topic_3,0.0745152600110437,109
2010,topic_4,0.18783113710548321,109
2010,topic_5,0.22048690883843947,109
2011,topic_0,0.14141053379041893,72
2011,topic_1,0.22808342738413653,72
2011,topic_2,0.13033807193348215,72
2011,topic_3,0.09255098834638822,72
2011,topic_4,0.2137708325841703,72
2011,topic_5,0.19384614596140384,72
2012,topic_0,0.16366829337038996,72
2012,topic_1,0.1832727209470686,72
2012,topic_2,0.14716237213232072,72
2012,topic_3,0.16149066953359134,72
2012,topic_4,0.18244202972725038,72
2012,topic_5,0.16196391428937906,72
2013,topic_0,0.1734866874998289,103
2013,topic_1,0.1799518076548858,103
2013,topic_2,0.1706984232826853,103
2013,topic_3,0.12738890066255992,103
2013,topic_4,0.19437279412122607,103
2013,topic_5,0.15410138677881408,103
2014,topic_0,0.15719154962384338,82
2014,topic_1,0.18000435102751008,82
2014,topic_2,0.13829949960320637,82
2014,topic_3,0.206296169354918,82
2014,topic_4,0.18126104473960233,82
2014,topic_5,0.1369473856509196,82
2015,topic_0,0.16334112329638353,105
2015,topic_1,0.14799789069323394,105
2015,topic_2,0.13135227206555372,105
2015,topic_3,0.1477250260503177,105
2015,topic_4,0.20215071775035487,105
2015,topic_5,0.20743297014415626,105
2016,topic_0,0.1508566310213321,114
2016,topic_1,0.17356536832368533,114
2016,topic_2,0.15307507091163494,114
2016,topic_3,0.11549054746144785,114
