period,topic,prevalence,n_docs
1989,topic_0,0.08959944262857444,25
1989,topic_1,0.014926233393601525,25
1989,topic_2,0.21086307902412144,25
1989,topic_3,0.24044472313108767,25
1989,topic_4,0.05480201680661985,25
1989,topic_5,0.18128306888840426,25
1989,topic_6,0.0338152347613859,25
1989,topic_7,0.17426620136620494,25
1990,topic_0,0.14806774300232045,25
1990,topic_1,0.03616831574617263,25
1990,topic_2,0.16736495181250444,25
1990,topic_3,0.27086303526766825,25
1990,topic_4,0.0613571433056488,25
1990,topic_5,0.11164595957299807,25
1990,topic_6,0.0688862408244815,25
1990,topic_7,0.1356466104682058,25
1991,topic_0,0.11186170182616854,26
1991,topic_1,0.009161428133361462,26
1991,topic_2,0.23925555502662688,26
1991,topic_3,0.3177298873282566,26
1991,topic_4,0.020050538125831206,26
1991,topic_5,0.11193743213380669,26
1991,topic_6,0.0349712345460346,26
1991,topic_7,0.15503222287991392,26
1992,topic_0,0.16723239815693652,49
1992,topic_1,0.06546817878219215,49
1992,topic_2,0.17907356366348842,49
1992,topic_3,0.20858185888364864,49
1992,topic_4,0.0522645883731523,49
1992,topic_5,0.14932394067732727,49
1992,topic_6,0.054919614851804334,49
1992,topic_7,0.12313585661145038,49
1993,topic_0,0.11968571942651553,54
1993,topic_1,0.012222392002038068,54
1993,topic_2,0.19252121695586988,54
1993,topic_3,0.2019423199525012,54
1993,topic_4,0.049605941371607086,54
1993,topic_5,0.18128825639211582,54
1993,topic_6,0.06494548374529871,54
1993,topic_7,0.17778867015405375,54
1994,topic_0,0.11823314078046385,59
1994,topic_1,0.015311053317011379,59
1994,topic_2,0.16553704503661026,59
1994,topic_3,0.3015128246060621,59
1994,topic_4,0.06409256464115101,59
1994,topic_5,0.19052037348384585,59
1994,topic_6,0.05772171324769599,59
1994,topic_7,0.08707128488715955,59
1995,topic_0,0.10760789820746612,68
1995,topic_1,0.0336946269856964,68
1995,topic_2,0.13333429466322178,68
1995,topic_3,0.2681710943257776,68
1995,topic_4,0.07053645878305129,68
1995,topic_5,0.23457264990690563,68
1995,topic_6,0.04271769320771283,68
1995,topic_7,0.10936528392016827,68
1996,topic_0,0.1489348250877349,68
1996,topic_1,0.032340443897517356,68
1996,topic_2,0.1423231234947263,68
1996,topic_3,0.23369704365632166,68
1996,topic_4,0.07226459788858211,68
1996,topic_5,0.20833712644753655,68
1996,topic_6,0.05285748147483867,68
1996,topic_7,0.10924535805274248,68
1997,topic_0,0.13120716825430537,63
1997,topic_1,0.04586471581899851,63
1997,topic_2,0.14985089888436534,63
1997,topic_3,0.20399246109742078,63
1997,topic_4,0.10048054616103495,63
1997,topic_5,0.20754558327600592,63
1997,topic_6,0.04761399893668427,63
1997,topic_7,0.11344462757118497,63
1998,topic_0,0.15505429785963848,65
1998,topic_1,0.034743027245747266,65
1998,topic_2,0.14090373582849555,65
1998,topic_3,0.2544079842694634,65
1998,topic_4,0.09665394388986552,65
1998,topic_5,0.1873419334709304,65
1998,topic_6,0.06312214667131073,65
1998,topic_7,0.06777293076454866,65
1999,topic_0,0.1265451967798975,60
1999,topic_1,0.018037487242035983,60
1999,topic_2,0.16227852015623231,60
1999,topic_3,0.2241787611145872,60
1999,topic_4,0.12853735414821651,60
1999,topic_5,0.16011480872919345,60
1999,topic_6,0.04410434901618028,60
1999,topic_7,0.13620352281365666,60
2000,topic_0,0.1367812422506322,60
2000,topic_1,0.03546672937662153,60
2000,topic_2,0.13352959722752591,60
2000,topic_3,0.20232957762067066,60
2000,topic_4,0.13388113668422966,60
2000,topic_5,0.16513229670661875,60
2000,topic_6,0.07851724799359604,60
2000,topic_7,0.1143621721401052,60
2001,topic_0,0.12180672986562688,85
2001,topic_1,0.04262096882271674,85
2001,topic_2,0.11492977952959782,85
2001,topic_3,0.2189231963159699,85
2001,topic_4,0.11344185205428839,85
2001,topic_5,0.16504905315511056,85
2001,topic_6,0.10064300558081361,85
2001,topic_7,0.12258541467587619,85
2002,topic_0,0.1252598516969609,81
2002,topic_1,0.030734870213772834,81
2002,topic_2,0.13390772136730136,81
2002,topic_3,0.15632014428507185,81
2002,topic_4,0.1248850053481059,81
2002,topic_5,0.22576191030293508,81
2002,topic_6,0.08241546444074013,81
2002,topic_7,0.12071503234511195,81
2003,topic_0,0.11456339712667477,39
2003,topic_1,0.052551569206151276,39
2003,topic_2,0.1160738544951027,39
2003,topic_3,0.23367495569417265,39
2003,topic_4,0.11608923072824436,39
2003,topic_5,0.15498667093768584,39
2003,topic_6,0.06975244025832293,39
2003,topic_7,0.14230788155364546,39
2004,topic_0,0.1542278360382318,126
2004,topic_1,0.07753845119991384,126
2004,topic_2,0.10457292008698438,126
2004,topic_3,0.1554874809564026,126
2004,topic_4,0.11230803190901759,126
2004,topic_5,0.16843903951750924,126
2004,topic_6,0.10855955235302332,126
2004,topic_7,0.1188666879389172,126
2005,topic_0,0.13458374584463811,90
2005,topic_1,0.038619471702254,90
2005,topic_2,0.09321982273235849,90
2005,topic_3,0.21884761914953133,90
2005,topic_4,0.16696319203739146,90
2005,topic_5,0.17907086784659307,90
2005,topic_6,0.0864275354722709,90
2005,topic_7,0.08226774521496273,90
2006,topic_0,0.11476274878475898,94
2006,topic_1,0.06626834565556886,94
2006,topic_2,0.112433850032414,94
2006,topic_3,0.18395125468767332,94
2006,topic_4,0.11841941288887559,94
2006,topic_5,0.18905676216454428,94
2006,topic_6,0.11086996055348737,94
2006,topic_7,0.10423766523267776,94
2007,topic_0,0.13489919342819615,71
2007,topic_1,0.08046675044760777,71
2007,topic_2,0.08300901409161535,71
2007,topic_3,0.16886718809366716,71
2007,topic_4,0.14190356018387215,71
2007,topic_5,0.17097377265339497,71
2007,topic_6,0.10570316921887864,71
2007,topic_7,0.11417735188276788,71
2008,topic_0,0.14782357546149513,113
2008,topic_1,0.09220016692259189,113
2008,topic_2,0.12308046191274787,113
2008,topic_3,0.14408637356965542,113
2008,topic_4,0.11385953286884266,113
2008,topic_5,0.146974702960166,113
2008,topic_6,0.12613535877695148,113
2008,topic_7,0.10583982752754963,113
2009,topic_0,0.1215452776322326,122
2009,topic_1,0.07099435230340106,122
2009,topic_2,0.12297866221196362,122
2009,topic_3,0.1330157620698353,122
2009,topic_4,0.14788551611870282,122
2009,topic_5,0.14323025332262126,122
2009,topic_6,0.15027998787083888,122
2009,topic_7,0.11007018847040442,122
2010,topic_0,0.12716116377143957,153
2010,topic_1,0.0796915361207411,153
2010,topic_2,0.10059801540366137,153
2010,topic_3,0.13277645052698295,153
2010,topic_4,0.143837933272609,153
2010,topic_5,0.18890241221641904,153
2010,topic_6,0.13996269675695996,153
2010,topic_7,0.08706979193118695,153
2011,topic_0,0.12663209256778013,130
2011,topic_1,0.08820868193866524,130
2011,topic_2,0.1131361109021709,130
2011,topic_3,0.10498114250824968,130
2011,topic_4,0.145050407087986,130
2011,topic_5,0.20709060248528183,130
2011,topic_6,0.13476056325806426,130
2011,topic_7,0.08014039925180198,130
2012,topic_0,0.11386263391985289,131
2012,topic_1,0.08196664999147155,131
2012,topic_2,0.0935204416506984,131
2012,topic_3,0.12160871561013702,131
2012,topic_4,0.1499901797477905,131
2012,topic_5,0.1928638582816319,131
2012,topic_6,0.16906839997558093,131
2012,topic_7,0.07711912082283688,131
2013,topic_0,0.13493714782296706,148
2013,topic_1,0.07916412350491014,148
2013,topic_2,0.1004200357758075,148
2013,topic_3,0.1327303197762818,148
2013,topic_4,0.14018319070066962,148
2013,topic_5,0.17520947075387472,148
2013,topic_6,0.12555089565987057,148
2013,topic_7,0.11180481600561863,148
2014,topic_0,0.1437012684739734,151
2014,topic_1,0.07732747112949924,151
2014,topic_2,0.12216140801505614,151
2014,topic_3,0.11331297835378171,151
2014,topic_4,0.16752270071073022,151
2014,topic_5,0.1557775525055114,151
2014,topic_6,0.09513180926346138,151
2014,topic_7,0.1250648115479866,151
2015,topic_0,0.12060769113480047,167
2015,topic_1,0.08318804510040734,167
2015,topic_2,0.10736220951455108,167
2015,topic_3,0.10896498006213858,167
2015,topic_4,0.16484730255682112,167
2015,topic_5,0.1589009389713597,167
2015,topic_6,0.1590442475677352,167
2015,topic_7,0.09708458509218665,167
2016,topic_0,0.11650137439896648,186
2016,topic_1,0.1342170124266672,186
2016,topic_2,0.08886682815019704,186
2016,topic_3,0.08307939902083472,186
2016,topic_4,0.1935743176390919,186
2016,topic_5,0.14406242096445288,186
2016,topic_6,0.15932891640616736,186
2016,topic_7,0.0803697309936224,186
2017,topic_0,0.10744536615624495,216
2017,topic_1,0.11854639806528793,216
2017,topic_2,0.11185706238014392,216
2017,topic_3,0.11067595476264652,216
2017,topic_4,0.15123781286545762,216
2017,topic_5,0.15020758563828093,216
2017,topic_6,0.14888040686647114,216
2017,topic_7,0.10114941326546696,216
2018,topic_0,0.11340267485822751,234
2018,topic_1,0.13615141935378428,234
2018,topic_2,0.11255678254256038,234
2018,topic_3,0.09473185499324167,234
2018,topic_4,0.15446158282217232,234
2018,topic_5,0.1501020409502771,234
2018,topic_6,0.18663145423010924,234
2018,topic_7,0.05196219024962753,234
2019,topic_0,0.11518081893292169,37
2019,topic_1,0.12496106815626108,37
2019,topic_2,0.0974058345444198,37
2019,topic_3,0.08621070647738983,37
2019,topic_4,0.1302396922740402,37
2019,topic_5,0.1384057108880198,37
2019,topic_6,0.23739633388916884,37
2019,topic_7,0.07019983483777877,37
