journal,topic,topic_label,prevalence,global_mean,zscore
Applied Mathematics & Optimization,T1,"control, optimal, state, equation",0.2246813997112032,0.06949655296126855,2.282557972200712
CPAIOR,T4,"programming, linear, dual, quadratic",0.237073147638635,0.09428025085523345,2.375070777200529
CPAIOR,T11,"model, time, stochastic, cost",0.2137979719293576,0.09585786821219472,2.2666947047372554
Computational Optimization and Applications,T10,"convergence, methods, algorithms, global",0.0976887980982705,0.04929213516362729,1.9797913978282973
Computational Optimization and Applications,T0,"method, proposed, numerical, newton",0.08459997292670836,0.0461470269774836,1.653488657382931
Engineering Optimization,T2,"design, optimization, structural, topology",0.33691864222265866,0.10471135832341562,1.7802306607545733
Evolutionary Multi-Criterion Optimization,T7,"algorithm, search, proposed, algorithms",0.25390619668135767,0.10224260873076647,2.391786476648752
Fixed Point Theory and Applications,T5,"point, theorem, spaces, fixed",0.6469680121160689,0.08613479824942727,4.047746828116592
Global Optimization,T6,"functions, function, objective, penalty",0.1224625113405963,0.07457090897639493,1.8387280528827823
Global Optimization,T14,"variational, vector, inequalities, inequality",0.08234508121509344,0.0479313697053459,1.5189256829783147
Journal of Optimization Theory and Applications,T3,"conditions, optimality, necessary, sufficient",0.09997872970931933,0.05764090614074165,1.5744316835398102
Mathematical Programming,T13,"convex, set, sets, cone",0.10993428364075251,0.06191388742390533,1.7875399417369326
Mathematical Programming,T4,"programming, linear, dual, quadratic",0.19950717623188904,0.09428025085523345,1.7502368889949342
Mathematics of Operations Research,T9,"game, games, equilibrium, players",0.11062923252303775,0.031719418457565665,3.114429854371444
Mathematics of Operations Research,T11,"model, time, stochastic, cost",0.19367652692901743,0.09585786821219472,1.8799799961991805
Optimization,T12,"isbn, dm, york, pp",0.12741074770246913,0.018015895549360693,4.0523812192631885
Optimization Letters,T14,"variational, vector, inequalities, inequality",0.08586502732690351,0.0479313697053459,1.6742863318991261
Optimization Methods and Software,T10,"convergence, methods, algorithms, global",0.10423574699133126,0.04929213516362729,2.2476113737222354
Optimization Methods and Software,T0,"method, proposed, numerical, newton",0.09527452290757393,0.0461470269774836,2.1124976326467433
SIAM Journal on Control and Optimization,T8,"systems, linear, stability, equations",0.2031311200003259,0.06004501427326889,2.7476778366506376
SIAM Journal on Control and Optimization,T1,"control, optimal, state, equation",0.22000895760022354,0.06949655296126855,2.2138327054403
SIAM Journal on Optimization,T10,"convergence, methods, algorithms, global",0.09835553541061985,0.04929213516362729,2.007066022059786
SIAM Journal on Optimization,T13,"convex, set, sets, cone",0.10754950095022132,0.06191388742390533,1.6987673649252528
Structural and Multidisciplinary Optimization,T2,"design, optimization, structural, topology",0.4931092897898932,0.10471135832341562,2.977675353501393
Structural and Multidisciplinary Optimization,T0,"method, proposed, numerical, newton",0.08270565984521698,0.0461470269774836,1.5720326046291562
esaim-cocv,T8,"systems, linear, stability, equations",0.1847169318573949,0.06004501427326889,2.394070780373901
esaim-cocv,T1,"control, optimal, state, equation",0.1940087930600503,0.06949655296126855,1.8314056573578643
