,Applied Mathematics & Optimization,CPAIOR,Computational Optimization and Applications,Engineering Optimization,Evolutionary Multi-Criterion Optimization,Fixed Point Theory and Applications,Global Optimization,Journal of Optimization Theory and Applications,Mathematical Programming,Mathematics of Operations Research,Optimization,Optimization Letters,Optimization Methods and Software,Optimization and Engineering,SIAM Journal on Control and Optimization,SIAM Journal on Optimization,Structural and Multidisciplinary Optimization,esaim-cocv
Applied Mathematics & Optimization,1.0000000000000002,0.4468008831178111,0.6183631567329536,0.38487555689382386,0.38573050611777565,0.3377434833658184,0.6196936245010902,0.8946686317728219,0.5630041287440425,0.7279374084476726,0.6820724061426314,0.6647222855986172,0.5843693948359576,0.5217124161716934,0.9617278823886124,0.6008350075394987,0.283397851679686,0.9554404788465884
CPAIOR,0.4468008831178111,1.0,0.8338483206262108,0.6904883192599688,0.7261439043675297,0.11063888022583454,0.7801939405195475,0.6066321348368263,0.8751456965608112,0.7885969050827982,0.6234996287442124,0.8336939702295962,0.8264792243676398,0.7945439091851486,0.3883762372764374,0.7783106754277793,0.44033755629423654,0.3522122467445379
Computational Optimization and Applications,0.6183631567329536,0.8338483206262108,0.9999999999999999,0.657801032546588,0.7580224243677113,0.21833217628766569,0.9215801416097299,0.8132621151659165,0.9122801738151949,0.7487860157096052,0.7594054551380667,0.8916833736187925,0.9918419569367719,0.7605147428733591,0.5570203055173478,0.9352787481560054,0.4427639870186625,0.5626349909349859
Engineering Optimization,0.38487555689382386,0.6904883192599688,0.657801032546588,0.9999999999999998,0.9264241300701566,0.08650503792472196,0.6323063224594492,0.5052172242767253,0.5365639982290793,0.5124632704405084,0.451067138853058,0.6211831362603302,0.6564175955996101,0.9706265397428432,0.35140219178162846,0.5341962056660837,0.9329895213347309,0.3602899795386541
Evolutionary Multi-Criterion Optimization,0.38573050611777565,0.7261439043675297,0.7580224243677113,0.9264241300701566,1.0,0.1458942236020824,0.7413713694946257,0.5408703309834687,0.6086898791894491,0.5752205353792419,0.5166680167187975,0.7122161180742392,0.7339960687218976,0.904500304653328,0.33972974689570573,0.6201372307438239,0.7715312087945431,0.35684355244690247
Fixed Point Theory and Applications,0.3377434833658184,0.11063888022583454,0.21833217628766569,0.08650503792472196,0.1458942236020824,1.0,0.3600772509194973,0.40255843677906333,0.2700379009142558,0.3398017010310878,0.42491521106494223,0.3819791818543354,0.21481447047383462,0.13579238356882326,0.2673536434747791,0.3096961111006154,0.07929104051013497,0.4127712454497423
Global Optimization,0.6196936245010902,0.7801939405195475,0.9215801416097299,0.6323063224594492,0.7413713694946257,0.3600772509194973,0.9999999999999998,0.8703160973923187,0.9362074391073495,0.8133581289691052,0.8577620535175285,0.9711105360647388,0.9179826760618638,0.7453095500584932,0.5393955587420547,0.9554632153310519,0.4541732952076675,0.6004381255046988
Journal of Optimization Theory and Applications,0.8946686317728219,0.6066321348368263,0.8132621151659165,0.5052172242767253,0.5408703309834687,0.40255843677906333,0.8703160973923187,1.0,0.809384594171403,0.8179721597911405,0.8593197447418299,0.8694044096231718,0.8044594715209437,0.643749722727596,0.8409126798644236,0.8549219322960453,0.3930543617783645,0.874948662741025
Mathematical Programming,0.5630041287440425,0.8751456965608112,0.9122801738151949,0.5365639982290793,0.6086898791894491,0.2700379009142558,0.9362074391073495,0.809384594171403,1.0,0.8255364253888117,0.8173384377109576,0.9337221905031632,0.9218143195171271,0.6839830080330246,0.5003126795115523,0.9677190303556403,0.33624086461210256,0.5232324634253932
Mathematics of Operations Research,0.7279374084476726,0.7885969050827982,0.7487860157096052,0.5124632704405084,0.5752205353792419,0.3398017010310878,0.8133581289691052,0.8179721597911405,0.8255364253888117,1.0000000000000002,0.7723178356564019,0.9002007936628884,0.7355356519172779,0.6811074531891262,0.6418919485626523,0.7844162963920466,0.29426806364498426,0.6387237988787106
