,Applied Mathematics & Optimization,CPAIOR,Computational Optimization and Applications,Engineering Optimization,Evolutionary Multi-Criterion Optimization,Fixed Point Theory and Applications,Global Optimization,Journal of Optimization Theory and Applications,Mathematical Programming,Mathematics of Operations Research,Optimization,Optimization Letters,Optimization Methods and Software,Optimization and Engineering,SIAM Journal on Control and Optimization,SIAM Journal on Optimization,Structural and Multidisciplinary Optimization,esaim-cocv
Applied Mathematics & Optimization,0.0,0.2859985416886337,0.16524994859353584,0.3036361591518364,0.2954873235309516,0.3639754949030203,0.1572738459825714,0.040584235953238054,0.1791381726271399,0.09580181643687699,0.13480412993754523,0.13742077842534403,0.18284458247207502,0.21143289537141827,0.015029342790232504,0.1695712413640153,0.33348671279114483,0.02027994130129471
CPAIOR,0.2859985416886337,0.0,0.09260777560370947,0.12345814202316023,0.12509076063841054,0.5516363579463284,0.11427349356622206,0.20479000278008266,0.07856739225894299,0.13509776486451255,0.1981591517181966,0.09648782040301992,0.09550840335003839,0.08371463147936277,0.3111073993167199,0.12012138088787225,0.24607891179624294,0.34096165119730537
Computational Optimization and Applications,0.16524994859353584,0.09260777560370947,0.0,0.13929858891189006,0.11790721078964223,0.4378269710367961,0.038525753313168216,0.0776505305890757,0.03952788803251284,0.11062292147810764,0.10842724950962071,0.04887500537332871,0.004712355597013494,0.08181814526919293,0.19398255627246608,0.02867523380306749,0.21981310800150408,0.19709446677171094
Engineering Optimization,0.3036361591518364,0.12345814202316023,0.13929858891189006,0.0,0.04329297571274637,0.5828655335149957,0.17170615136209927,0.23551752458045774,0.20599316346149338,0.240285632514393,0.2700132106395484,0.17487342906322617,0.14048713175010916,0.01846760964378637,0.3203947786925456,0.21120999228113715,0.03938802946163615,0.3297553763654189
Evolutionary Multi-Criterion Optimization,0.2954873235309516,0.12509076063841054,0.11790721078964223,0.04329297571274637,0.0,0.5060326672828,0.12170860953965322,0.21634523198854666,0.17107737972287787,0.20513890521041253,0.22665077231862144,0.1319216129581832,0.12490251970332301,0.04886772609362136,0.3214915157506965,0.17206305734637825,0.11045828421984173,0.31471336121283305
Fixed Point Theory and Applications,0.3639754949030203,0.5516363579463284,0.4378269710367961,0.5828655335149957,0.5060326672828,0.0,0.3546173626391289,0.3309429525810189,0.39652545392644145,0.36921123564057773,0.3121693690283617,0.34465081578437107,0.43515990568283475,0.5124613389388717,0.4010667939507326,0.37450175988756995,0.5753448185676178,0.32561758953979636
Global Optimization,0.1572738459825714,0.11427349356622206,0.038525753313168216,0.17170615136209927,0.12170860953965322,0.3546173626391289,0.0,0.055885473766836474,0.021398923600192438,0.0769232669946952,0.06699431638450046,0.009537126887318116,0.041491603586649474,0.10206073294999353,0.19691336870315357,0.019938935658392408,0.23514304469738764,0.17368616208452986
Journal of Optimization Theory and Applications,0.040584235953238054,0.20479000278008266,0.0776505305890757,0.23551752458045774,0.21634523198854666,0.3309429525810189,0.055885473766836474,0.0,0.07890031418264559,0.06554362232208356,0.06736404689701303,0.056331138431479376,0.08578375491936864,0.14762953091829173,0.06488662704303129,0.06559714718235769,0.2657505462587754,0.056410158619319584
Mathematical Programming,0.1791381726271399,0.07856739225894299,0.03952788803251284,0.20599316346149338,0.17107737972287787,0.39652545392644145,0.021398923600192438,0.07890031418264559,0.0,0.06839585878589627,0.08046573240673631,0.021372362113718214,0.03781527586731839,0.12365659503656341,0.21239229210173197,0.013983527001620717,0.2890018290976875,0.20784309214795052
Mathematics of Operations Research,0.09580181643687699,0.13509776486451255,0.11062292147810764,0.240285632514393,0.20513890521041253,0.36921123564057773,0.0769232669946952,0.06554362232208356,0.06839585878589627,0.0,0.09586127575057775,0.04937231100022781,0.12083600204616415,0.14739143220357623,0.1325204380842302,0.09222372054131849,0.32660613300075875,0.147208283085188
Optimization,0.13480412993754523,0.1981591517181966,0.10842724950962071,0.2700132106395484,0.22665077231862144,0.3121693690283617,0.06699431638450046,0.06736404689701303,0.08046573240673631,0.09586127575057775,0.0,0.06213433940831691,0.10044069235496189,0.17924000742653926,0.15603365488305634,0.06407807515319301,0.31094267103587936,0.14433957117088397
Optimization Letters,0.13742077842534403,0.09648782040301992,0.04887500537332871,0.17487342906322617,0.1319216129581832,0.34465081578437107,0.009537126887318116,0.056331138431479376,0.021372362113718214,0.04937231100022781,0.06213433940831691,0.0,0.05241333201041797,0.09894462068673932,0.1790372995895833,0.029479721507013296,0.24985163718622772,0.1623210011460693
Optimization Methods and Software,0.18284458247207502,0.09550840335003839,0.004712355597013494,0.14048713175010916,0.12490251970332301,0.43515990568283475,0.041491603586649474,0.08578375491936864,0.03781527586731839,0.12083600204616415,0.10044069235496189,0.05241333201041797,0.0,0.08195687146453422,0.203975383311594,0.02374099222440793,0.21343190700017117,0.20629052487230626
