journal,journal_slug,n_records,n_with_year,n_with_month,year_range
Applied Mathematics & Optimization,applied_mathematics_optimization,1291,1291,1291,"[1974, 2019]"
Computational Optimization and Applications,computational_optimization_and_applications,1556,1556,1556,"[1992, 2019]"
CPAIOR,cpaior,471,471,0,"[2004, 2018]"
Engineering Optimization,engineering_optimization,1998,1998,0,"[1975, 2019]"
esaim-cocv,esaim_cocv,976,542,0,"[1996, 2035]"
Evolutionary Multi-Criterion Optimization,evolutionary_multi_criterion_optimization,447,447,0,"[2001, 2019]"
Fixed Point Theory and Applications,fixed_point_theory_and_applications,321,321,321,"[2004, 2019]"
Global Optimization,global_optimization,2455,2455,2455,"[1991, 2019]"
Journal of Optimization Theory and Applications,journal_of_optimization_theory_and_applications,6613,6613,6613,"[1967, 2019]"
Mathematical Programming,mathematical_programming,3334,3334,3334,"[1971, 2019]"
Mathematics of Operations Research,mathematics_of_operations_research,2188,2188,2188,"[1976, 2019]"
Optimization,optimization,3355,3355,0,"[1977, 2019]"
Optimization and Engineering,optimization_and_engineering,528,528,528,"[2000, 2019]"
Optimization Letters,optimization_letters,1163,1163,1163,"[2007, 2019]"
Optimization Methods and Software,optimization_methods_and_software,1233,1233,0,"[1992, 2019]"
SIAM Journal on Control and Optimization,siam_journal_on_control_and_optimization,4489,4489,0,"[1963, 2019]"
SIAM Journal on Optimization,siam_journal_on_optimization,2013,2013,0,"[1991, 2018]"
Structural and Multidisciplinary Optimization,structural_and_multidisciplinary_optimization,2996,2996,2996,"[1989, 2019]"
