,specialization_kl
Fixed Point Theory and Applications,1.590288436772454
Structural and Multidisciplinary Optimization,0.783275567755948
SIAM Journal on Control and Optimization,0.515626261761938
Engineering Optimization,0.4810147191168461
esaim-cocv,0.4512999605129406
CPAIOR,0.4227173540755288
Evolutionary Multi-Criterion Optimization,0.40792436944438737
Applied Mathematics & Optimization,0.39398982063595067
Optimization,0.32239391589785754
Mathematics of Operations Research,0.2637107722767321
Optimization and Engineering,0.2222787064754713
Mathematical Programming,0.2026670700229307
SIAM Journal on Optimization,0.18349561410636692
Optimization Methods and Software,0.17440093476278998
Computational Optimization and Applications,0.16146384166982514
Journal of Optimization Theory and Applications,0.1448642889558519
Global Optimization,0.11800990093291572
Optimization Letters,0.10711486006508106
