journal,early_period,late_period,temporal_jsd
Optimization,1977-1997,1998-2019,0.11009509464165425
Engineering Optimization,1975-1998,1999-2019,0.03449595701871612
Journal of Optimization Theory and Applications,1967-1992,1993-2019,0.022421046135904375
Global Optimization,1991-2004,2005-2019,0.016055685289404462
Applied Mathematics & Optimization,1974-1996,1997-2019,0.01205658146641642
Structural and Multidisciplinary Optimization,1989-2003,2004-2019,0.011814832908641798
Mathematical Programming,1971-1994,1995-2019,0.011202251736672799
Optimization and Engineering,2000-2009,2010-2019,0.010708101887856872
Fixed Point Theory and Applications,2004-2011,2012-2019,0.010540968145478299
SIAM Journal on Optimization,1991-2004,2005-2018,0.00938330434653964
SIAM Journal on Control and Optimization,1963-1990,1991-2019,0.00847162815217074
Computational Optimization and Applications,1992-2005,2006-2019,0.006753664486905063
esaim-cocv,1996-2015,2016-2035,0.006295270426789673
Optimization Methods and Software,1992-2005,2006-2019,0.005574582583684162
Mathematics of Operations Research,1976-1997,1998-2019,0.005365344238622564
CPAIOR,2004-2010,2011-2018,0.005140366165742064
Evolutionary Multi-Criterion Optimization,2001-2009,2011-2019,0.004584801321966151
Optimization Letters,2007-2012,2013-2019,0.0034372288614822385
