journal,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14
Applied Mathematics & Optimization,0.02396348999703384,0.2246813997112032,0.024013305498759543,0.08938098610041706,0.04462184618010226,0.0780455357601962,0.06558477384874942,0.025091841497594584,0.1161121710151286,0.06489463075169084,0.03633759692975178,0.09448311563261928,0.005375110867286324,0.045253435655901994,0.062160760553564974
CPAIOR,0.025529009708560434,0.01682628100086772,0.09189717356124263,0.03876396456633533,0.237073147638635,0.017189787836396266,0.024602819013884995,0.17984102050745146,0.022503667767100947,0.013120656449875666,0.035379371454743756,0.2137979719293576,0.012147947390381891,0.051286262378953736,0.020040918796212663
Computational Optimization and Applications,0.08459997292670836,0.06927222651766317,0.05525549564220986,0.041862867124973765,0.13236943267989626,0.03382265557441727,0.08032009122869205,0.17114518449537314,0.034853942365779274,0.01726882365940137,0.0976887980982705,0.07252070363390589,0.009673045445801798,0.06296484580833263,0.0363819147985747
Engineering Optimization,0.06910415933344342,0.04088611215639438,0.33691864222265866,0.01986634531892743,0.06467688291936542,0.013072377413413107,0.05233629465918603,0.15358952595664296,0.03154429345072138,0.012926284177152084,0.02738216032210804,0.14014998609365156,0.007428736320329002,0.01710139004285342,0.01301680961315295
Evolutionary Multi-Criterion Optimization,0.033708269880105377,0.024335436760273322,0.24284216918205326,0.019899014639985144,0.02247303995030034,0.029437138193309734,0.06495159030164699,0.25390619668135767,0.01979038063325807,0.016647299406805805,0.04822994890164787,0.13107506725074428,0.013846055824837798,0.04657847897567299,0.032279913418001516
Fixed Point Theory and Applications,0.025296790562225578,0.011688541073695389,0.005556119331233614,0.027466077545821914,0.008781561627145022,0.6469680121160689,0.018532040466597982,0.023545112920683068,0.03835637469528271,0.020159235873373805,0.03246864067201832,0.009042833118015734,0.02630290279034747,0.040587026935745625,0.06524873027174467
Global Optimization,0.042702052250461156,0.027925689720649922,0.06334639439903293,0.06757612864687414,0.11080058869350526,0.07136498334991885,0.1224625113405963,0.13693862509682905,0.029006543591725487,0.023429817701136908,0.051646820369632744,0.06918494107718134,0.009314748915572045,0.09195507363179038,0.08234508121509344
Journal of Optimization Theory and Applications,0.0460707284776594,0.11080153495988226,0.042626461880249836,0.09997872970931933,0.08463449447715368,0.07629755382837876,0.087211228825264,0.05960739721210051,0.07951422480117816,0.06328147233276334,0.04693006828670481,0.04914402991388388,0.007209483791996406,0.06997182294972891,0.07672076855373675
Mathematical Programming,0.04160162844298058,0.019223545775518047,0.0323134389187386,0.05476463612536963,0.19950717623188904,0.05218636033981364,0.09086825965957764,0.11828649063714648,0.037904724199123926,0.024082316928650427,0.0618444516437798,0.09051296840473765,0.010194115329866072,0.10993428364075251,0.05677560372205603
Mathematics of Operations Research,0.0184668956896304,0.048889391515781144,0.018395494004748113,0.06053883062907566,0.09975216060113105,0.07537943792517335,0.08343455889921608,0.06899288083289846,0.046922980431666136,0.11062923252303775,0.035941991492898624,0.19367652692901743,0.009370379186271488,0.08207842264283134,0.04753081669662315
Optimization,0.0360341023337454,0.04883317344286396,0.030341736243696262,0.09064425723274196,0.09391891533140942,0.08406756609195169,0.09790788097686194,0.0598500064366536,0.04229081231889536,0.030775506281658493,0.04081140411673007,0.0600214890196017,0.12741074770246913,0.0861158595622941,0.07097654290842706
Optimization Letters,0.04559801938965825,0.026946443963072712,0.048181234856534014,0.0748950513362648,0.10834750670383048,0.07757991154055732,0.09761993299496013,0.11260538099510926,0.032948866492962074,0.02313982785987479,0.043942326365732615,0.1263200454816893,0.011415279368766183,0.08459514532408458,0.08586502732690351
Optimization Methods and Software,0.09527452290757393,0.04667941643270088,0.06017378578700527,0.04007393617224921,0.14167651882142102,0.031610250728996106,0.08627040843944384,0.15213989917191528,0.0482292209462507,0.014635996223193557,0.10423574699133126,0.06574609709052158,0.018757247560066023,0.0610380033164839,0.03345894941084731
Optimization and Engineering,0.06181847436875852,0.049821762820491854,0.24186481913827362,0.02645552276906623,0.09157912151559579,0.021729096414828314,0.06900326465368849,0.11030257132711263,0.039268267850228175,0.021105708435713435,0.041359478047766705,0.15513868508036685,0.010886592245286715,0.03304171070124424,0.0266249246315782
SIAM Journal on Control and Optimization,0.01982096086212944,0.22000895760022354,0.025126266634003216,0.09189009621272094,0.0409688574796667,0.059373174478564945,0.05843556181856208,0.02519211516141244,0.2031311200003259,0.057139441502474846,0.028431772860122575,0.07681455340638123,0.013322158634636361,0.044661325469934926,0.035683637878840775
SIAM Journal on Optimization,0.055536402181906926,0.02860657685994129,0.036284888568154615,0.07492566386003587,0.1496906609576099,0.058036410263039455,0.10947992903241478,0.10999793240899008,0.03842600575821644,0.015399298229418669,0.09835553541061985,0.05633090571227254,0.01759886807640647,0.10754950095022132,0.04378142173075184
Structural and Multidisciplinary Optimization,0.08270565984521698,0.04150266993156077,0.4931092897898932,0.031094865517410326,0.03984704468076355,0.020477324759173,0.05597909208625484,0.06365010903382969,0.03528972874360173,0.010638686934743747,0.024834084858154064,0.06397669152565288,0.006475592284060413,0.018263693096212886,0.012155466913472055
esaim-cocv,0.022815346436906882,0.1940087930600503,0.0365577341629936,0.08745933702576088,0.026325558904781998,0.10378879187549381,0.07727612332951107,0.01568466678069599,0.1847169318573949,0.031675296965216315,0.03143823612327793,0.05750501651990425,0.007557108154110947,0.06147369254725665,0.06171736625664454
